good = 5.198795376404074, bad = 5.035893730880422
good = 5.334997094549524, bad = 5.0971182206763395
good = 5.507978921096569, bad = 5.137934547206952
good = 5.615984748870512, bad = 5.19915903700287
good = 5.706607598292362, bad = 5.310174102842158
good = 5.867740249859796, bad = 5.3713985926380765
good = 5.9772338292809115, bad = 5.391806755903382
good = 6.117867060140228, bad = 5.515559814439049
good = 6.222040973183707, bad = 5.535967977704355
good = 6.324266236394676, bad = 5.576784304234968
good = 6.418446903448689, bad = 5.64027031091761
good = 6.502653022611329, bad = 5.7492814516057695
good = 6.629891590527557, bad = 5.790097778136381
good = 6.735593894390824, bad = 5.854183240522737
good = 6.835685746714562, bad = 5.905516645361023
good = 6.928206565670163, bad = 5.946332971891635
good = 7.056746078703955, bad = 5.966741135156941
good = 7.140881344404434, bad = 6.138347168874775
good = 7.269586723881082, bad = 6.158755332140082
good = 7.386084489258641, bad = 6.187741050274501
good = 7.494414725849747, bad = 6.208149213539807
good = 7.594847668108777, bad = 6.208149213539807
good = 7.7379283165898824, bad = 6.299779205407973
good = 7.856735943699595, bad = 6.386922958290553
good = 7.943338198127936, bad = 6.427739284821166
good = 7.9991258736837265, bad = 6.74926325035578
good = 8.087853290406835, bad = 6.7900795768863915
good = 8.1947043706966, bad = 6.830895903417004
good = 8.299152802565322, bad = 6.871712229947616
good = 8.400074399486918, bad = 6.892120393212922
good = 8.507222462882122, bad = 6.955711046865687
good = 8.59031784736881, bad = 4.720406232318175
good = 8.729072850819467, bad = 4.785965872323246
good = 8.852793990656547, bad = 4.882552810968747
good = 8.949073953849553, bad = 5.0297936948999595
good = 9.037955419994788, bad = 5.111426347961184
good = 9.127423911889366, bad = 5.239565210971387
good = 9.270748102459933, bad = 5.239565210971387
good = 9.354172151452593, bad = 5.259973374236693
good = 9.515985816048872, bad = 5.341606027297917
good = 9.614491195466735, bad = 5.456543924228694
good = 9.730452561019426, bad = 5.539436265599001
good = 9.813958608527303, bad = 5.790068209660172
good = 9.909153424728984, bad = 5.790068209660172
good = 10.04528430923668, bad = 5.790068209660172
good = 10.145999862446693, bad = 5.85129269945609
good = 10.263821245357931, bad = 5.8730772325804645
good = 10.324619957113164, bad = 6.13264540767659
good = 10.403217666435513, bad = 6.220473876161669
good = 10.492889428918874, bad = 6.2946339071983655
good = 10.608623679638628, bad = 6.36892965975499
good = 10.707207185504748, bad = 6.109195883613537
good = 10.807851750049933, bad = -3.690030901374013
good = 10.884326643916134, bad = -3.6085864658923104
good = 11.008622364453315, bad = -5.381721409152288
good = 11.12362860471616, bad = -5.304384985868792
good = 11.209167311386219, bad = -5.150444233366417
good = 11.305454927530615, bad = -5.063869840763526
good = 11.394151072574587, bad = -4.961829024436995
good = 11.509689736349273, bad = -5.666477685742632
good = 11.64540202835142, bad = -5.605253195946713
good = 11.74564572131975, bad = -5.807625460243197
good = 11.830400735681568, bad = -5.746400970447279
good = 11.9030082811152, bad = -5.7259928071819735
good = 11.989986945398211, bad = -5.62144181567446
good = 12.09337533585907, bad = -5.569087623479985
good = 12.148497205865743, bad = -5.504091763204621
good = 12.219930005691335, bad = -5.442867273408701
good = 12.295336112482971, bad = -5.37029606065718
good = 12.413508302599867, bad = -5.3294797341265685
good = 12.493483198699293, bad = -5.309071570861262
good = 12.591154063797694, bad = -5.2780643620590215
good = 12.688726486625825, bad = -5.975379458953292
good = 12.708048782193833, bad = -6.020839974731764
good = 12.777586896253684, bad = -5.897203559879732
good = 12.841239321728544, bad = -5.944761435488999
good = 12.89906773361488, bad = -5.916375580732681
good = 12.967225643866893, bad = -5.855151090936763
good = 13.032786056225234, bad = -7.856297327823593
good = 13.094389227955944, bad = -7.9889792341556465
good = 13.159907988818269, bad = -7.968571070890341
good = 13.233772489489485, bad = -8.017678089907529
good = 13.304878531785278, bad = -9.20414481831513
good = 13.375161050091444, bad = -9.17951906756368
good = 13.444877639198964, bad = -16.034342551936298
good = 13.530363215190029, bad = -16.18941821586356
good = 13.578342841594667, bad = -16.245294243800604
good = 13.645283216262419, bad = -22.2284450876021
good = 13.719752278502323, bad = -22.263613861487194
good = 13.798608961272047, bad = -22.24320569822189
good = 13.85283164919252, bad = -22.16068573371435
good = 13.920548235343887, bad = -22.62507264997907
good = 13.976685448053706, bad = -22.481576512871577
good = 14.032147220704857, bad = -22.353693806994198
good = 14.087588866284078, bad = -25.769034835405233
good = 14.153521488206867, bad = -25.748626672139928
good = 14.207850198384834, bad = -25.602592668260012
good = 14.278438705958846, bad = -25.582184504994707
good = 14.36140193320577, bad = -25.676532368836885
good = 14.443297339571037, bad = -25.72114133977329
