good = 5.173596939683896, bad = 5.3440392593010175
good = 5.316807092418345, bad = 5.454502708894901
good = 5.4931116702881395, bad = 5.536135361956125
good = 5.598172938595785, bad = 5.556543525221431
good = 5.7238180165858905, bad = 5.576951688486737
good = 5.910482675598375, bad = 5.61776801501735
good = 6.0432183376818625, bad = 5.736626037602081
good = 6.188584228473842, bad = 5.7978505273979986
good = 6.2999207824190915, bad = 5.838666853928611
good = 6.433500097603132, bad = 5.859075017193917
good = 6.536104852506564, bad = 5.879483180459223
good = 6.663628088939031, bad = 5.920857319741175
good = 6.82552447875746, bad = 5.961673646271787
good = 6.927248103267393, bad = 6.0985889489330924
good = 7.020065155707633, bad = 6.198829691054934
good = 7.154900674456196, bad = 6.239646017585547
good = 7.258117557242872, bad = 6.333788205353101
good = 7.351798716663162, bad = 6.4273108317949825
good = 7.444290719234559, bad = 6.625710113929461
good = 7.528117598427165, bad = 6.803764893153403
good = 7.6334996100203565, bad = 6.844581219684016
good = 7.716453831322406, bad = 6.932479981673283
good = 7.837413799681305, bad = 6.973296308203896
good = 7.94650720735837, bad = 7.0141126347345075
good = 8.054913234503527, bad = 7.0141126347345075
good = 8.146028970083032, bad = 7.05492896126512
good = 8.27901713458351, bad = 7.260232900428233
good = 8.368961423670797, bad = 7.260232900428233
good = 8.46731952504339, bad = 7.299184464490709
good = 8.591036696760565, bad = 7.340000791021321
good = 8.700165379982305, bad = 7.380817117551934
good = 8.776823765075473, bad = 7.420020095669857
good = 8.877599472459877, bad = 7.464613833786222
good = 8.980523965036545, bad = 7.505430160316834
good = 9.089085731772224, bad = 7.566654650112753
good = 9.211464506406069, bad = 7.566654650112753
good = 9.295358624955261, bad = 7.68354165938663
good = 9.407974740991667, bad = -5.8770215259081535
good = 9.482492848619243, bad = -5.777607976005637
good = 9.687033911421173, bad = -5.695975322944412
good = 9.768936611619905, bad = -5.4744476292672966
good = 9.867241052755878, bad = -5.433631302736684
good = 9.948396267538552, bad = -5.340887035842135
good = 10.01453142537165, bad = -5.126388338505909
good = 10.088368819701795, bad = -5.06516384870999
good = 10.196547802728176, bad = -5.0447556854446844
good = 10.27038894430265, bad = -4.983531195648766
good = 10.352566077958047, bad = -4.918047610910523
good = 10.453256627344249, bad = -4.877231284379911
good = 10.559599782846828, bad = -4.816006794583992
good = 10.686510142481826, bad = -4.734374141522768
good = 10.776102666061307, bad = -4.5914257323454315
good = 10.87100075669853, bad = -5.477906556983873
good = 10.953063412239448, bad = -5.301533240859005
good = 11.055335245921745, bad = -5.281125077593698
good = 11.171490632639788, bad = -5.199492424532473
good = 11.25650879156367, bad = -5.138267934736556
good = 11.347647699827899, bad = -5.077043444940637
