good = 5.0507698985042735, bad = 5.056177884615384
good = 5.078738648504273, bad = 5.061802884615385
good = 5.11271781517094, bad = 5.1430528846153845
good = 5.148898561507937, bad = 5.1430528846153845
good = 5.162127728174603, bad = 5.1430528846153845
good = 5.1748740682646925, bad = 5.166335542273043
good = 5.195967818264693, bad = 5.234043875606376
good = 5.237634484931358, bad = 5.263210542273041
good = 5.25730936021304, bad = 5.263210542273041
good = 5.32042457011279, bad = 5.587303587385824
good = 5.388853976963251, bad = 5.685442685130185
good = 5.405260226963251, bad = 5.726067685130184
good = 5.429813798391823, bad = 5.726067685130184
good = 5.4770279456786435, bad = 5.726067685130184
good = 5.524095389181468, bad = 5.726067685130184
good = 5.571015032038612, bad = 5.749817685130185
good = 5.685637558515757, bad = 5.749817685130185
good = 5.731970891849091, bad = 6.017401018463517
good = 5.7374371616903606, bad = 6.028948637511137
good = 5.794818710226569, bad = 6.071880070484943
good = 5.8452353768932355, bad = 6.071880070484943
good = 5.907395780827539, bad = 6.071880070484943
good = 5.9268767749795845, bad = 6.071880070484943
good = 5.966633719424028, bad = 6.071880070484943
good = 6.024914293017102, bad = 6.0789309362858095
good = 6.035906940075927, bad = 6.114176034325024
good = 6.072799301187038, bad = 6.114176034325024
good = 6.087271027377514, bad = 6.164176034325025
good = 6.102896027377514, bad = 6.256259367658358
good = 6.109415688272175, bad = 6.38995705885605
good = 6.146357752735659, bad = 6.39355151010044
good = 6.172308435853632, bad = 6.39355151010044
good = 6.184235300349432, bad = 6.39355151010044
good = 6.316307117373358, bad = 6.45986401010044
good = 6.403876561817805, bad = 6.505975121211551
good = 6.427834895151137, bad = 6.508579287878217
good = 6.4525678647278575, bad = 6.508579287878217
good = 6.477865483775477, bad = 6.5538173831163125
good = 6.515435683050838, bad = 6.475046092614438
good = 6.556181297085926, bad = 6.475046092614438
good = 6.601676792581421, bad = 6.673812472630817
good = 6.604669216823846, bad = 6.673812472630817
good = 6.606171045473323, bad = 6.673812472630817
good = 6.617421045473322, bad = 6.673812472630817
good = 6.636865489917768, bad = 6.729368028186372
good = 6.641702553543895, bad = 6.762989931339524
good = 6.654853595210561, bad = 6.765594098006192
good = 6.674375375513591, bad = 6.814978567703162
good = 6.697886851120416, bad = 6.814978567703162
good = 6.7234076844537505, bad = 6.814978567703162
good = 6.719986882511935, bad = 6.770161676999781
good = 6.735777818184449, bad = 6.770161676999781
good = 6.735203688134224, bad = 6.791203343666448
good = 6.7237037753843865, bad = 6.81388103974488
good = 6.729328775384387, bad = 6.81638103974488
good = 6.746754528930484, bad = 6.81638103974488
good = 6.74953902543446, bad = 6.763396731054053
good = 6.743832660261298, bad = 6.769818704832489
good = 6.739262383674591, bad = 6.478227467280134
good = 6.739862110389789, bad = 6.490727467280134
good = 6.7594766380190245, bad = 6.497924436977103
good = 6.781356765923839, bad = 6.350509605325202
good = 6.780156382961671, bad = 6.400009605325201
good = 6.792027529319041, bad = 6.459252398322793
good = 6.8041004910388105, bad = 6.459252398322793
good = 6.813152126056159, bad = 6.459252398322793
good = 6.817591203399331, bad = 6.439976893821117
good = 6.823320370065997, bad = 6.422535696096482
good = 6.827709639317363, bad = 6.375390923233026
good = 6.827709639317363, bad = 5.060723525100233
good = 6.848429748013015, bad = 5.060723525100233
good = 6.87411656119983, bad = 5.060723525100233
good = 6.876524649435122, bad = 5.064904897649252
