good = 1.5258991208029322, bad = 5.0
good = 1.6500269098495852, bad = 5.1836874637358
good = 1.7452996852733138, bad = 5.20388948393782
good = 1.819622601939981, bad = 5.21399049403883
good = 1.8916646744508028, bad = 5.21399049403883
good = 1.9654146744508034, bad = 5.21399049403883
good = 2.0463730077841364, bad = 5.224091504139841
good = 2.113214827869857, bad = 5.286112945909967
good = 2.1855310043404454, bad = 5.296213956010978
good = 2.2374912316131734, bad = 5.306314966111988
good = 2.2899391482798404, bad = 5.326516986314008
good = 2.36392352327984, bad = 5.336617996415018
good = 2.412227094708413, bad = 2.4725356044498588
good = 2.477738458344775, bad = 2.502838634752889
good = 2.529783253827071, bad = 2.620563502477757
good = 2.558345753827071, bad = 2.6955635024777567
good = 2.606262420493739, bad = 2.6955635024777567
good = 2.6549082538270716, bad = 2.722078653992908
good = 2.7063665871604052, bad = 2.7683749502892048
good = 2.7549082538270726, bad = 2.788576970491225
good = 2.8016023698180628, bad = 2.788576970491225
good = 2.8453523698180625, bad = 2.8188800007942554
good = 2.882201328151396, bad = 2.8491830310972857
good = 2.957759460495242, bad = 2.8743785546694323
good = 3.0443219604952425, bad = 2.8844795647704427
good = 3.1351781876014684, bad = 2.9739872792781568
good = 3.2445085447443263, bad = 2.994189299480177
good = 3.325511148910992, bad = 3.014391319682197
good = 3.3725944822443243, bad = 3.04721960251048
good = 3.4208748364621795, bad = 3.0812815570269803
good = 3.532958169795512, bad = 3.0932063606184506
good = 3.5796248364621785, bad = 3.131926899338989
good = 3.637411294795512, bad = 3.142027909439999
good = 3.6668904614621796, bad = 3.1728570340191236
good = 3.7035903240995425, bad = 3.1829580441201335
good = 3.7610713847056023, bad = 3.1093909535611792
good = 3.8038491624833806, bad = 3.129592973763199
good = 3.846140829150047, bad = 3.169155263325489
good = 3.9016467815309994, bad = 3.169155263325489
good = 3.9253967815310005, bad = 3.2078758020460274
good = 3.9700888670042214, bad = 2.9938472556235456
good = 4.028416522531956, bad = 3.0141939720170647
good = 4.132374855865288, bad = 3.0413404366635293
good = 4.172429526516184, bad = 3.051441446764539
good = 4.203500955087612, bad = 3.0716434669665595
good = 4.247241897116598, bad = 3.081744477067569
good = 4.264741897116598, bad = 3.1120475073705998
good = 4.303509754259455, bad = 3.14235053767363
good = 4.35716684885405, bad = 3.1159064083705794
good = 4.358694208606723, bad = 3.12600741847159
good = 4.392860875273389, bad = 3.14620943867361
good = 4.457054751398809, bad = 3.14620943867361
good = 4.472404977063827, bad = 3.16641145887563
good = 4.5005867952456455, bad = 3.1765124689766404
good = 4.53101521145221, bad = 3.2029958075871
good = 4.578316936424545, bad = 3.1477034096908656
good = 4.602274414455394, bad = 3.1821099753474313
good = 4.618077836900191, bad = 3.2051178316886206
good = 4.651086456671711, bad = -1.0836301293658357
good = 4.681508639553483, bad = -1.0715154480701201
good = 4.717634302694321, bad = -1.0905146979448863
good = 4.697002521177502, bad = -1.034380448182811
good = 4.721065021177502, bad = -1.0242794380818008
good = 4.741533771177502, bad = -0.9617794380818009
good = 4.7866794254448255, bad = -0.9516784279807907
good = 4.818268399300595, bad = -0.9516784279807907
good = 4.844257430363309, bad = -0.9415774178797807
good = 4.870671992302624, bad = -0.9314764077787705
good = 4.892356722559125, bad = -0.9011733774757397
good = 4.913044909450543, bad = -0.8460244510743961
good = 4.93365834591456, bad = -2.9134594775549267
good = 4.93529937548238, bad = -2.8507296775369917
good = 4.968148986579214, bad = -2.8406286674359813
good = 4.996248048556178, bad = -2.8406286674359813
good = 5.0115881846106, bad = -2.8492433368326355
good = 5.039731093690519, bad = -2.8496327326129522
good = 5.05402347902363, bad = -2.839531722511942
good = 5.078699804255656, bad = -2.819329702309922
good = 5.105887304255656, bad = -2.7978650558452753
good = 5.11941308206339, bad = -2.777663035643255
good = 5.145368964416331, bad = -2.780829649670148
good = 5.167641436057352, bad = -2.8013968717470465
good = 5.102005651460683, bad = -2.77258603611803
good = 5.116035399466415, bad = -2.747333510865505
good = 5.144265404030554, bad = -2.691777955309949
good = 5.170723737363886, bad = -2.6200887278422305
good = 5.1888275399724595, bad = -2.585156067909571
good = 5.193852631149631, bad = -2.544375926065599
good = 5.212341702410379, bad = -2.5092788656496285
good = 5.236668666741066, bad = -2.5075830028142136
good = 5.267915143249151, bad = -2.5075830028142136
good = 5.301364006820348, bad = -2.627983591739724
good = 5.3302618632601915, bad = -2.672984516864852
good = 5.353230613260191, bad = -2.6205855269658618
good = 5.385652488260193, bad = -2.6205855269658618
good = 5.411684676212544, bad = -2.609883266263601
good = 5.387155069244553, bad = -2.5997822561625905
good = 5.410043699578863, bad = -2.5391761955565313
good = 5.435155306721721, bad = -2.5348428637950287
good = 5.463843991954031, bad = -2.5045398334919984
good = 5.4967669628182865, bad = -2.489845268797434
good = 5.5211601147725515, bad = -2.5537147982668635
good = 5.540094284342685, bad = -2.9689417753476453
good = 5.5637160792144815, bad = -2.958840765246635
good = 5.597360653499343, bad = -2.935028356098491
good = 5.63451158383971, bad = -2.914826335896471
good = 5.664415300711023, bad = -2.894624315694451
good = 5.678529830909416, bad = -2.8744222954924306
good = 5.545667163455983, bad = -2.784132986881203
good = 5.561216015010139, bad = -2.7560395525377688
good = 5.594676241642352, bad = -2.745938542436759
good = 5.620921825368559, bad = -2.745938542436759
good = 5.61669549471229, bad = -2.7010451642100484
good = 5.638186723184797, bad = -2.670837787411763
good = 5.663645146017221, bad = -2.6470661652574967
good = 5.676255084638545, bad = -2.616943510134841
good = 5.705451981491693, bad = -2.643898543915315
good = 5.741746263545902, bad = -2.6751019226769195
good = 5.776197422802395, bad = -2.7163762143117127
good = 5.804324322498444, bad = -2.7110520614558933
good = 5.819295081314888, bad = -2.6888298392336707
good = 5.844708591415899, bad = -2.6623146877185184
good = 5.872654617600283, bad = -2.6421126675164985
good = 5.899760588769651, bad = -2.6673004261536355
good = 5.922260588769651, bad = -2.6571994160526256
good = 5.9520127279273085, bad = -4.0278048358239475
good = 5.967016734337565, bad = -4.066040844026443
good = 6.002640509217901, bad = -4.0971541455306655
good = 6.04421841644376, bad = -4.087053135429655
good = 6.064218416443761, bad = -4.066851115227635
good = 6.08921841644376, bad = -4.066851115227635
good = 6.121385799310746, bad = -4.056636342193112
good = 6.149563775884625, bad = -4.036434321991091
good = 6.172063775884625, bad = -4.026333311890082
good = 6.201040157221544, bad = -4.006131291688061
good = 6.224503913911089, bad = -4.006131291688061
good = 6.26560510438728, bad = -3.996030281587051
good = 6.285952869251937, bad = -3.9898633977008235
good = 6.3085902778581895, bad = -4.029510404291085
good = 6.33139960341363, bad = -4.000890875671555
good = 6.35552140659038, bad = -3.9806888554695345
good = 6.364714502140841, bad = -3.947934935675345
good = 6.389741054428423, bad = -4.0067455439288295
good = 6.414956327179623, bad = -4.039260630888744
good = 6.447813470036765, bad = -4.066522597644283
good = 6.46510702393653, bad = -4.026118557240242
good = 6.467305549965472, bad = -3.9960214872495543
good = 6.493327685382139, bad = -3.971584408124975
