good = 3.2805700144314547, bad = -53.64760955873752
good = 3.3907472744403737, bad = -71.78484476260012
good = 3.443367330937549, bad = -71.73854846630381
good = 3.5262839976042155, bad = -71.7284474562028
good = 3.599173607993825, bad = -71.69814442589977
good = 3.672864084184302, bad = -71.69814442589977
good = 3.7380446397398597, bad = -71.67794240569775
good = 3.796912382775121, bad = -71.60027551666323
good = 3.8697493925790423, bad = -71.59017450656222
good = 3.924626286518436, bad = -71.58007349646121
good = 3.9893919115184366, bad = -71.55987147625919
good = 4.058688786518436, bad = -71.51031339545112
good = 4.107684322232722, bad = -71.4243946845324
good = 4.169559322232722, bad = -71.33979872493644
good = 4.2338328265062275, bad = -71.32969771483543
good = 4.2563328265062275, bad = -71.31959670473442
good = 4.294718243172894, bad = -71.30949569463341
good = 4.35638490983956, bad = -71.2808761660139
good = 4.425343243172893, bad = -71.23394855658627
good = 4.471384909839561, bad = -71.22384754648526
good = 4.525197550605326, bad = -71.21374653638425
good = 4.588947550605327, bad = -71.19354451618223
good = 4.638645467271993, bad = -71.160253270391
good = 4.686759838020293, bad = -71.14005125018898
good = 4.735896742782197, bad = -71.12995024008796
good = 4.8459024662254215, bad = -71.11984922998695
good = 4.93715246622542, bad = -71.09964720978493
good = 4.99383215372542, bad = -71.08954619968392
good = 5.03320715372542, bad = -70.97296370810143
good = 5.088840471702487, bad = -70.91856581847628
good = 5.191271027258044, bad = -70.90846480837527
good = 5.225541860591378, bad = -70.85333012824057
good = 5.2556981105913785, bad = -70.83849426965472
good = 5.293890074877092, bad = -70.8182922494527
good = 5.322743096855115, bad = -70.80819123935169
good = 5.356027728889748, bad = -71.10583973272333
good = 5.394291617778637, bad = -71.08367362722389
good = 5.443458284445304, bad = -71.04663659018685
good = 5.496642808254828, bad = -71.19220808552419
good = 5.554142808254828, bad = -71.17200606532217
good = 5.606387531139396, bad = -71.16190505522115
good = 5.65548205155542, bad = -71.14170303501913
good = 5.6822528848887535, bad = -71.12150101481711
good = 5.714752884888754, bad = -71.09751111582722
good = 5.7576546706030385, bad = -71.0874101057262
good = 5.784031482197243, bad = -71.05710707542318
good = 5.816263625054386, bad = -71.02019028850638
good = 5.85944014811802, bad = -71.02019028850638
good = 5.89535895265362, bad = -70.99469604426214
good = 5.91347220027378, bad = -70.9475579971241
good = 5.970972200273779, bad = -70.93745698702308
good = 5.99509400345053, bad = -70.97262556349115
good = 6.008617417095846, bad = -70.96252455339014
good = 6.0323249712299924, bad = -70.9221205129861
good = 5.882410798109455, bad = -70.90688739953869
good = 5.901776356515456, bad = -70.89567296623122
good = 5.925898159692207, bad = -70.8754709460292
good = 5.953884270803319, bad = -70.85386600775759
good = 5.979716859188686, bad = -71.00452461247633
good = 6.00571508710278, bad = -70.96512766682937
good = 6.012031423653496, bad = -70.90454526014443
good = 6.034474311806173, bad = -70.89444425004342
good = 6.054667888796984, bad = -70.89444425004342
good = 6.080917888796984, bad = -70.8742422298414
good = 6.098462582061768, bad = -70.86414121974039
good = 6.136014665395103, bad = -70.86414121974039
good = 6.175569842402393, bad = -70.89079623235003
good = 6.19413631065636, bad = -70.85959132614512
good = 6.217165131859203, bad = -70.84949031604411
