good = 5.034289999646118, bad = 5.014030533502895
good = 5.157884770887947, bad = 5.037579651642614
good = 5.22510699311017, bad = 5.095368596366232
good = 5.363450247078424, bad = 5.115469098878795
good = 5.406740476963481, bad = 5.1707021607398245
good = 5.543140188363193, bad = 5.1958277888805275
good = 5.71340060502986, bad = 5.215928291393091
good = 5.727222153851409, bad = 5.29667292364526
good = 5.824999931629186, bad = 5.32096103084794
good = 5.969768450147705, bad = 5.3557007014230384
good = 6.089004561258816, bad = 5.416735039781497
good = 6.18858789459215, bad = 5.4267852910377785
good = 6.3283595628120946, bad = 5.222157086966198
good = 6.370553922825604, bad = 5.269143538983123
good = 6.491238446635127, bad = 5.289244041495685
good = 6.573738446635128, bad = 5.309344544008248
good = 6.662627335524015, bad = 5.3579207584136075
good = 6.7154051133017925, bad = 5.420734828765366
good = 6.760960668857347, bad = 5.444185415030023
good = 6.810474557746237, bad = 5.478209703137225
good = 6.881030113301792, bad = 5.512966822065199
good = 6.905970589492269, bad = 5.562216044367185
good = 7.010488133351918, bad = 5.631801912303357
good = 7.0449563790270595, bad = 5.673213437807627
good = 7.080035744106426, bad = 5.707671442114878
good = 7.1769801885508695, bad = 5.7227468189993
good = 7.282556168943025, bad = 5.7327970702555815
good = 7.323713576350431, bad = 5.642955319004481
good = 7.429507227144083, bad = 5.6530055702607624
good = 7.46945672209358, bad = 5.692140639546586
good = 7.5614011665380225, bad = 5.716114676397506
good = 7.593901166538023, bad = 5.726164927653787
good = 7.67072656336342, bad = 5.750034274387456
good = 7.739670397307254, bad = 5.765109651271878
good = 7.830816230640584, bad = 5.765344267062175
good = 7.918470202764126, bad = 5.760229487391279
good = 7.968192424986346, bad = 5.788984372930085
good = 8.037492283315409, bad = 5.8150901766740795
good = 8.098612259674747, bad = 5.855404781613672
good = 8.137263053325542, bad = 5.882534477713218
good = 8.207824107561885, bad = 5.767438298446688
good = 8.249583366821145, bad = 5.773302408879569
good = 8.275362302797449, bad = 5.843426897808606
good = 8.341826086752631, bad = 5.852901353419997
good = 8.40485062349023, bad = 5.8629516046762795
good = 8.476108793424872, bad = 5.913849476387779
good = 8.534382822182542, bad = 5.925993529989118
good = 8.61650002642847, bad = 5.911241301844789
good = 8.654996468572865, bad = 5.953236994594251
good = 8.686206786033182, bad = 5.9602562598116595
good = 8.736612768939162, bad = 5.9665376703936195
good = 8.789840695526468, bad = 5.989797571087565
good = 8.830118321805823, bad = 5.980921775231374
good = 8.866079161599044, bad = 6.014196948466824
good = 8.903322570261945, bad = 6.031581757728235
good = 8.937066851562914, bad = 5.935683634025472
good = 8.978034010240522, bad = 5.933084503423815
good = 9.016898855513595, bad = 5.939683194792284
good = 9.040432809622972, bad = 5.949505956938477
good = 9.077655031845193, bad = 5.965418854760923
good = 9.117990077923597, bad = 5.982337638384912
good = 9.153756077429124, bad = 6.004112801362441
good = 9.181144403089991, bad = 6.0200182213193685
good = 9.20161612504182, bad = 6.051634636729754
good = 9.243266538932604, bad = 6.061684887986035
good = 9.275373751039165, bad = 6.074920854053242
good = 9.2983918584231, bad = 6.106871423875645
good = 9.31900796875014, bad = 6.134467775640467
good = 9.352427990276599, bad = 6.086394533119802
good = 9.369616599323683, bad = 6.118579728605884
good = 9.396895295262798, bad = 6.117469782814904
good = 9.43234044924026, bad = 6.124729639792098
good = 9.472583987799721, bad = 6.1297547654202384
good = 9.507259972439675, bad = 6.114740132945794
good = 9.53767663910634, bad = 6.145524946011121
good = 9.559375853716821, bad = 6.127237010827777
good = 9.585154773324646, bad = 6.151246103048219
good = 9.622718353012267, bad = 6.1564069299328885
good = 9.66034880923947, bad = 6.171482306817312
good = 9.676320507706892, bad = 6.179787166276809
good = 9.71180530500309, bad = 6.099387532583852
good = 9.742926058882556, bad = 6.117348722506313
good = 9.770922309862446, bad = 6.149503874737303
good = 9.807707327690983, bad = 6.169193752194874
good = 9.840075318050175, bad = 6.189294254707437
good = 9.854486877626798, bad = 6.2171725772758055
good = 9.885875766515687, bad = 6.24585766940311
good = 9.908796806227045, bad = 6.257536210089396
good = 9.942619557549795, bad = 6.270679478890564
good = 9.969949024625983, bad = 6.279168623530669
good = 9.970046469806038, bad = 6.3305793353017235
good = 10.005116709305748, bad = 6.376642986893012
good = 10.04442257001467, bad = 6.391718363777435
good = 10.08019355575689, bad = 6.402264355355529
good = 10.100193555756892, bad = 6.422364857868092
good = 10.146044688429878, bad = 6.385762365640747
good = 10.168288837387772, bad = 6.404932138160459
good = 10.192556997055844, bad = 6.398608786937268
good = 10.231579213338415, bad = 6.425130112854663
good = 10.254634768893968, bad = 6.439965488317069
good = 10.291941466279575, bad = 6.449723504777906
good = 10.31493188812236, bad = 6.480634810816413
good = 10.348395212181567, bad = 6.486240782922653
good = 10.363178119156316, bad = 6.520772237565138
good = 10.383751197225157, bad = 6.560357338393958
good = 10.42686579551966, bad = 6.544829709990978
good = 10.45510370900256, bad = 6.555249455778738
good = 10.473767394183962, bad = 6.570391533086423
good = 10.516705270535056, bad = 6.533773683990233
good = 10.562576482656267, bad = 6.548849060874656
good = 10.592888982656266, bad = 6.592191538418983
good = 10.623742410253115, bad = 6.554152604009169
good = 10.64671990368364, bad = 6.56987241717917
good = 10.670573309040115, bad = 6.582016470780512
good = 10.67598997570678, bad = 6.6236111411459975
good = 10.702221859764755, bad = 6.644148611104485
good = 10.723650431193326, bad = 6.669274239245189
good = 10.745812835428993, bad = 6.682361613993501
good = 10.773621419501222, bad = 6.713026301065223
good = 10.797775685374242, bad = 6.717536463456038
good = 10.831658774992393, bad = 6.746808395532208
good = 10.85014290197652, bad = 6.77604385856164
good = 10.881024740468705, bad = 6.804219048235501
good = 10.911913629357592, bad = 6.8166143581182475
good = 10.928580296024263, bad = 6.841739986258951
good = 10.924255487552928, bad = 6.880158016013762
good = 10.924319388496682, bad = 6.925353109125149
good = 10.962097166274459, bad = 6.9354033603814305
good = 10.992209855796196, bad = 6.9605289885221335
good = 11.02596646955281, bad = 6.987840466418516
good = 11.055449315538699, bad = 6.99636314228343
good = 11.09344789040401, bad = 7.010279313861513
good = 11.114964528452738, bad = 7.050027971294862
good = 11.138751266424912, bad = 7.083909500151269
good = 11.158751266424913, bad = 7.117669710344531
good = 11.195670458344102, bad = 7.14378513595744
good = 11.22778878784012, bad = 7.159677462665948
good = 11.274978504152177, bad = 7.169727713922229
good = 11.308392091842528, bad = 7.202899525360373
good = 11.338843904258445, bad = 7.223851988827131
good = 11.368411898451063, bad = 7.2182940967877425
good = 11.397026161235704, bad = 7.16139702567602
good = 11.421417504541628, bad = 7.1777715117427165
good = 11.463084171208294, bad = 7.215931183117697
good = 11.500861948986074, bad = 7.2410568112584
good = 11.541504580466198, bad = 7.223824949782375
good = 11.576921247132864, bad = 7.126705843035548
good = 11.603433861432881, bad = 7.144682631740979
good = 11.638492011165944, bad = 7.1551419978633
good = 11.661850612956561, bad = 7.189423419591825
good = 11.697614130484782, bad = 7.198906731083538
good = 11.758270033355926, bad = 7.206929019469558
good = 11.788489458935523, bad = 7.204432725201212
good = 11.81430990476686, bad = 7.213782175012971
good = 11.841161661079823, bad = 7.217323137712516
good = 11.864026778324858, bad = 7.254664664068993
good = 11.889176806942793, bad = 7.273961232766297
good = 11.92286740332988, bad = 7.271397869379761
good = 11.95434176230424, bad = 7.294010934706394
good = 11.982848223744776, bad = 7.3145301976879695
good = 12.00750026516173, bad = 7.353423342746817
good = 12.041389154050616, bad = 7.379805252294553
good = 12.083200447136868, bad = 7.389855503550835
good = 12.124287304809695, bad = 7.41762939576214
good = 12.145080955603346, bad = 7.437729898274703
good = 12.178014798234921, bad = 7.438431823315294
good = 12.202753752692006, bad = 7.242521673084464
good = 12.228170419358673, bad = 7.25067121817921
good = 12.253426986395072, bad = 7.253515217645803
good = 12.273426986395071, bad = 7.289195368036792
good = 12.292617330978981, bad = 7.33446908510699
good = 12.314752813751188, bad = 7.372471597669804
good = 12.32944134635931, bad = 7.408219951899882
good = 12.358863795706661, bad = 7.423652856313617
good = 12.396641573484438, bad = 7.445909385496508
good = 12.421391390795092, bad = 7.458697695239686
good = 12.452343771747474, bad = 7.491002074277733
good = 12.480946879918829, bad = 7.506890842633578
good = 12.514022960892525, bad = 7.514673025809263
good = 12.549302748584838, bad = 7.534773528321826
good = 12.572071863441783, bad = 7.547355368900243
good = 12.593401447755008, bad = 7.592129151961731
good = 12.636368599669693, bad = 7.602179403218012
good = 12.673978249952137, bad = 7.601136166112535
good = 12.68516482605832, bad = 7.631938178423663
good = 12.727109270502764, bad = 7.6092040475792055
good = 12.763652303499617, bad = 7.604753357488545
good = 12.807393976818316, bad = 7.575028603643465
good = 12.839525663863581, bad = 7.5709135859544805
good = 12.882382806720724, bad = 7.562091786501413
good = 12.903679028853672, bad = 7.597071991450992
good = 12.931201559737417, bad = 7.624699281369063
good = 12.972943983979842, bad = 7.632127464060064
good = 12.998377101231801, bad = 7.629587605202301
good = 13.006672555777255, bad = 7.663711344819793
good = 13.031282525554724, bad = 7.61108167474546
good = 13.057397225247668, bad = 7.619521239431451
good = 13.074203014820347, bad = 7.644856600596298
good = 13.108476628665304, bad = 7.659931977480721
good = 13.113697916020628, bad = 7.710309780333235
