good = 5.229620529620529, bad = 5.38568796068796
good = 5.358950594980008, bad = 5.485442862648746
good = 5.483603372757785, bad = 5.556797029315411
good = 5.627016071170483, bad = 5.660695838839221
good = 5.7064222014386825, bad = 5.842994689413933
good = 5.850621335637817, bad = 5.927085598504843
good = 6.000274113415594, bad = 6.0817730985048435
good = 6.108607446748928, bad = 6.115485219716964
good = 6.1586074467489285, bad = 6.2446518863836324
good = 6.218538002304483, bad = 6.342846330828076
good = 6.287288002304483, bad = 6.525971330828075
good = 6.381038002304484, bad = 6.692985219716965
good = 6.480909339158578, bad = 6.839711511055324
good = 6.54009204770299, bad = 6.880076252696662
good = 6.603041783152724, bad = 7.003310379680788
good = 6.6370695609305015, bad = 2.7496832337166937
good = 6.68092921005331, bad = 2.8149463916114303
good = 6.733706987831086, bad = 2.8461963916114303
good = 6.744123654497753, bad = 2.9409880582780965
good = 6.764679210053309, bad = 2.990988058278097
good = 6.833568098942199, bad = 3.0701547249447634
good = 6.8393915116406125, bad = 3.1040832963733345
good = 6.943865195851137, bad = 3.154960489355791
good = 6.98594693276046, bad = 3.1920677690492774
good = 7.0831691549826825, bad = 3.330163007144516
good = 7.130923784612313, bad = 3.3751977293667386
good = 7.205139470886822, bad = 3.42490361171968
good = 7.281875581997934, bad = 3.436327222830791
good = 7.305447010569361, bad = 3.4568034133069805
good = 7.4194874146097645, bad = 3.5349094739130407
good = 7.471570747943098, bad = 3.663034473913041
good = 7.508872335244686, bad = 3.7159511405797074
good = 7.564735430482779, bad = 3.760162450103518
good = 7.600058995806344, bad = 3.838276003217071
good = 7.645778241838092, bad = 3.7963994914326444
good = 7.653556019615868, bad = 3.3600331381802975
good = 7.669701852949203, bad = 3.3972727215136316
good = 7.766069374316724, bad = 3.46128371052462
good = 7.820974114357926, bad = 3.574448604141641
good = 7.832482050865863, bad = 3.614031937474975
good = 7.893679536104383, bad = 3.6413426223793266
good = 7.949367366792214, bad = 3.651064844601549
good = 8.000713535243646, bad = -1.1615192604148508
good = 8.004663721065121, bad = -1.058654677081517
good = 8.02216372106512, bad = -1.0579687978001047
good = 8.037183562481967, bad = -1.0361673272118699
good = 8.05213726618567, bad = -0.9844312161007583
good = 8.07352615507456, bad = -0.9987200457873628
good = 8.10710750428091, bad = -0.9723702723048645
good = 8.129198297665136, bad = -0.9515848515374303
good = 8.13962644806499, bad = -0.9420015182040972
good = 8.154826598210533, bad = -0.9333798664183832
good = 8.158018320406002, bad = -0.9134221853243271
good = 8.162601653739335, bad = -0.916931165574813
good = 8.180551707540419, bad = -0.9534110885098979
good = 8.211937725691833, bad = -0.9726662221671317
good = 8.229814187680136, bad = -0.9526590720811509
good = 8.269619469633492, bad = -0.97883727542948
good = 8.2829791046777, bad = -0.9594933853454153
good = 8.291034660233255, bad = -0.9652590933360926
good = 8.295026158732696, bad = -0.9515925455192411
good = 8.365801084758123, bad = -0.939092545519241
good = 8.3730853109486, bad = -0.9156788710595856
good = 8.392529755393044, bad = -0.8916158703027568
good = 8.417171098652354, bad = -1.3628286535539575
good = 8.437796098652354, bad = -1.366832598569174
good = 8.456049511104656, bad = -1.3626956938072692
good = 8.47350982856497, bad = -1.3708177099809253
good = 8.499580353908357, bad = -1.351292018281321
good = 8.508618630699058, bad = -1.3017822143597513
good = 8.53082741607706, bad = -1.2744429286454662
good = 8.527847262492859, bad = -1.2336025840941844
good = 8.561180595826194, bad = -1.2050853349223778
good = 8.564621306410023, bad = -1.3685740165655695
good = 8.57480649159521, bad = -1.385920877992151
good = 8.598307211578952, bad = -1.3969726682872534
good = 8.606779433801176, bad = -1.387084464531256
good = 8.606779433801176, bad = -1.387084464531256
good = 8.62201752903927, bad = -1.395941253189231
good = 8.634844831047605, bad = -1.4898769945112926
good = 8.660721185280659, bad = -1.5160859432820033
good = 8.687512556306187, bad = -1.4951389735850333
