good = 5.309744987435205, bad = -138.30056762781385
good = 5.484738078317042, bad = -138.29046661771284
good = 5.705685283285985, bad = -138.28036560761183
good = 5.823591080387436, bad = -138.2113734081848
good = 5.942362335236201, bad = -138.173661119548
good = 6.1316929394146324, bad = -138.12315606904295
good = 6.2703523597044875, bad = -138.025647163563
good = 6.418636681180113, bad = -137.97493237403398
good = 6.543491753643881, bad = -137.94214068906837
good = 6.670035751866559, bad = -137.88012714580609
good = 6.832952848160309, bad = -137.85299575117168
good = 6.965205645007497, bad = -137.79402388144467
good = 7.119807627887589, bad = -137.75361984104063
good = 7.288014843428755, bad = -137.69301378043457
good = 7.483770805673848, bad = -137.63194917299316
good = 7.5992938388001425, bad = -137.4546273000191
good = 7.717927924013176, bad = -137.36956616232638
good = 7.830272126911724, bad = -137.24424044134847
good = 7.986357299458145, bad = -137.2073512092539
good = 8.117252207619037, bad = -137.16420852664749
good = 8.25227666556275, bad = -137.0218538488891
good = 8.320840330159022, bad = -136.9526734318826
good = 8.429241568762778, bad = -136.91226939147856
good = 8.528189685044122, bad = -136.8543447107581
good = 8.659688753367101, bad = -136.7067961401661
good = 8.794396165875028, bad = -136.67649310986306
good = 8.983345156798627, bad = -139.0014917523237
good = 9.10974763425865, bad = -138.87693549961935
good = 9.23665205109785, bad = -138.7987540996988
good = 9.361440776864839, bad = -138.75835005929477
good = 9.511359608470707, bad = -138.70054223576705
good = 9.690171847991019, bad = -138.66453298078545
good = 9.820826092297441, bad = -138.60280179731512
good = 9.944744086139346, bad = -138.52558550850463
good = 10.070210701046179, bad = -138.4526208724965
good = 10.157054938451287, bad = -138.33584789775253
good = 10.263781407392974, bad = -138.2437473471539
good = 10.476172605566783, bad = -139.18147050711303
good = 10.613685996623767, bad = -139.08083021936204
good = 10.892005872400162, bad = -139.06062819916002
good = 10.980405542356191, bad = -138.9768435232798
good = 11.125357423622077, bad = -139.55694591572612
good = 11.271503314039817, bad = -139.5154884012168
good = 11.364018465554969, bad = -139.46890131826606
good = 11.47924156443024, bad = -139.38512999753823
good = 11.565109343425895, bad = -139.25188646736373
good = 11.655471423857543, bad = -139.2316844471617
good = 11.769743887625657, bad = -139.1991679781235
good = 11.868554195675097, bad = -139.1049362448931
good = 12.015645606679552, bad = -139.03815411276182
good = 12.187555191659792, bad = -139.24329645699402
good = 12.290424006359588, bad = -139.09616353355673
good = 12.427035982375292, bad = -151.874051020335
good = 12.529859434285703, bad = -151.82041984694098
good = 12.675800125411081, bad = -151.95874947013786
good = 12.819828059327122, bad = -154.22823503963824
good = 12.945454593052746, bad = -154.20803301943621
good = 13.060749136957261, bad = -154.1878309992342
good = 13.169048518213163, bad = -154.1201562646293
good = 13.30985270570612, bad = -154.62392622227273
good = 13.412608744353465, bad = -154.5815410175687
good = 13.50659985891523, bad = -154.5148875958428
good = 13.639709194916342, bad = -154.49468557564077
good = 13.731709712514688, bad = -154.4571821772678
good = 13.854439105428865, bad = -154.39657611666175
good = 13.94981453676081, bad = -154.34562736064055
good = 14.050249789913455, bad = -154.6140580045454
good = 14.154158453060536, bad = -154.5603310551663
good = 14.245394537114407, bad = -154.7267423153093
good = 14.335032532384886, bad = -154.60044009703836
good = 14.45185735200971, bad = -154.70916548956814
good = 14.539197591782015, bad = -154.64803191641218
good = 14.63431444714478, bad = -154.77096269085223
good = 14.722573707392948, bad = -155.31155963254426
good = 14.840047539671346, bad = -157.93275471770468
good = 14.895298704448763, bad = -157.917692579334
good = 14.983962525420809, bad = -157.986867797838
good = 15.081827217435341, bad = -158.9585983068984
good = 15.159086223587108, bad = -158.9804855292315
good = 15.199968499595219, bad = -158.9162744463316
good = 15.277749929675426, bad = -159.39783048360272
good = 15.391149971532768, bad = -162.4750315030545
good = 15.216629137629985, bad = -162.45043615520387
good = 15.286699176628684, bad = -163.97931694408115
good = 15.358667847225897, bad = -163.96004855996966
good = 15.441524298596391, bad = -164.10002795693515
good = 15.482256912961606, bad = -164.03751701981292
good = 15.556104963214272, bad = -164.10457168187403
good = 15.638051132986522, bad = -164.09683189602737
good = 15.676808647869034, bad = -163.96328083661106
good = 15.746236516691631, bad = -163.96153363316523
good = 15.824335240901014, bad = -163.94184237167062
good = 15.890688776683003, bad = -163.92998484337704
good = 15.949593814849388, bad = -163.875665249927
good = 16.027302103701356, bad = -164.917119599328
good = 16.1043994855243, bad = -166.86266495116843
good = 16.19361874979088, bad = -167.4476147412823
good = 16.253018619601637, bad = -167.37293266739076
good = 16.334190639689293, bad = -167.38268837710515
good = 16.40442799415989, bad = -167.3520053451633
good = 16.50275776895825, bad = -167.34190433506228
good = 16.564378241869193, bad = -168.19773985331108
good = 16.63922278267346, bad = -168.20247944679545
good = 16.71201048656259, bad = -168.10934183123896
good = 16.750603860951923, bad = -167.9413727674959
good = 16.840577882654003, bad = -168.3375227350024
good = 16.920492937901287, bad = -169.25990637319876
good = 17.00003891141382, bad = -169.23970435299674
good = 17.09885509372979, bad = -169.42980723820304
good = 17.18246159774921, bad = -169.426080807863
good = 17.241773548859317, bad = -169.31664962361535
good = 17.344568898848394, bad = -177.0114483512042
good = 17.424690799501057, bad = -177.08372647340107
good = 17.498558607084327, bad = -177.0450117072484
good = 17.59276150563505, bad = -177.0440674657776
good = 17.671996537733673, bad = -177.03507407751704
good = 17.747620434620373, bad = -177.03177128883544
good = 17.81759145832058, bad = -177.10421059627572
good = 17.894649381118633, bad = -177.3112783669088
good = 17.96938943819937, bad = -177.22903878684315
good = 18.05228591848463, bad = -177.3138937324368
good = 18.122868172547122, bad = -177.28634360231567
good = 18.177727334419032, bad = -177.18801514217367
good = 18.251547594698803, bad = -177.14665536342252
good = 18.32788050555582, bad = -177.16312914199705
good = 18.405792858902963, bad = -184.733071271547
good = 18.497620320753086, bad = -184.74504838269712
good = 18.577487529977088, bad = -184.71836797032802
good = 18.645126164370378, bad = -184.65162537315064
good = 18.73239030462157, bad = -187.30796942623303
good = 18.815404416985245, bad = -187.30118952122626
good = 18.918999785435098, bad = -188.71986330080722
good = 19.001766673225415, bad = -188.73664032850988
good = 19.089510974486988, bad = -192.77851361845447
good = 19.17446293782064, bad = -193.353723133758
good = 19.245961040970588, bad = -193.37815880252677
good = 19.300021517992914, bad = -193.29370634969484
good = 19.38212697185365, bad = -194.46472172464755
good = 19.479027843649266, bad = -194.58577687020292
good = 19.558685278506104, bad = -194.63126982820378
good = 19.67388513557895, bad = -196.90348956870088
good = 19.74879095647802, bad = -198.95019686181655
good = 19.839969169569272, bad = -199.08797630241972
good = 19.916596077969768, bad = -199.0526926927488
good = 19.976633398451742, bad = -199.01735339819624
good = 20.095063646163638, bad = -200.663120781542
good = 20.174784103242793, bad = -202.71893259117914
good = 20.268376019665954, bad = -202.83775410810517
