good = 5.363575183384967, bad = 5.422067838075743
good = 5.535382585275487, bad = 5.432168848176754
good = 5.734410535586046, bad = 5.452370868378774
good = 5.867359465882803, bad = 5.704816651259339
good = 6.014461042475458, bad = 5.76567163983047
good = 6.220690103269737, bad = 5.816176690335521
good = 6.331074950910019, bad = 5.914182951385259
good = 6.561060655784856, bad = 5.98489002209233
good = 6.68998819201674, bad = 6.043651550419075
good = 6.842209128515224, bad = 6.120314174848227
good = 7.004933976918238, bad = 6.14748569280854
good = 7.125831574172241, bad = 6.247078621844642
good = 7.372063921669955, bad = 6.287482662248682
good = 7.4780721812179936, bad = 6.399333472896904
good = 7.601305047026948, bad = 6.465360696895142
good = 7.713835067730883, bad = 6.541969434373445
good = 7.8496713976862065, bad = 6.671234846476385
good = 8.020606180294903, bad = 6.7916710929995885
good = 8.147396207218199, bad = 6.926595703882268
good = 8.277539998067871, bad = 6.987630292189584
good = 8.421714946308036, bad = 7.045482699731433
good = 8.550257389372216, bad = 7.076789557125246
good = 8.70480306515588, bad = 7.140608598213547
good = 8.850162851783983, bad = 7.170911628516578
good = 8.983188110583157, bad = 7.232444347005817
good = 9.087815015079626, bad = 7.318722212993829
good = 9.390941442881868, bad = 7.3793282735998895
good = 9.521281162389712, bad = 7.418602117955377
good = 9.632178332852103, bad = 7.504278760153758
good = 9.747351398916473, bad = 7.586804754142201
good = 9.866814890338977, bad = 7.627208794546242
good = 9.959317417832187, bad = 7.706261047059814
good = 10.105436465451234, bad = 7.736564077362845
good = 10.237400286654186, bad = 7.763039641519569
good = 10.330235949180064, bad = 7.807453762020646
good = 10.424057343244932, bad = 7.844351936310125
good = 10.554724944122318, bad = 7.884755976714165
good = 10.698242887531565, bad = 7.915059007017196
good = 10.789196382605203, bad = 8.021438454022608
good = 10.990997624841224, bad = 8.1123475449317
good = 11.087726246321235, bad = 8.214178031317902
good = 11.19827427031026, bad = 8.23438005151992
good = 11.312347384914954, bad = 8.274784091923962
good = 11.413311985150722, bad = 8.331028457779311
good = 11.586084859733374, bad = 8.44356738481099
good = 11.709563425072556, bad = 8.592292815548356
good = 11.789441598107251, bad = 8.653086738845573
good = 11.891098119846381, bad = 8.72223034885875
good = 11.991460438686964, bad = 8.79815934837141
good = 12.111065307248346, bad = 8.855830482195378
good = 12.228041101985008, bad = 8.926537552902449
good = 12.371992499500534, bad = 9.042065712343653
good = 12.502272748754386, bad = 9.077637911439284
good = 12.593199955605508, bad = 9.175999658022375
good = 12.694949995083352, bad = 9.249927612397395
good = 12.819136543033844, bad = 9.34125645807329
good = 12.956694666603635, bad = 9.401862518679351
good = 13.059552800370973, bad = 9.52543803983683
good = 13.238200435866435, bad = 9.55574107013986
good = 13.344105220677593, bad = 9.627831390677386
good = 13.489339520194505, bad = 9.560140286307366
good = 13.565977718952267, bad = 9.668523985270777
good = 13.660840576222595, bad = 9.734050257576566
good = 13.752893112454483, bad = 9.764353287879596
good = 13.865528856655441, bad = 9.86786501747828
