good = 5.286320632461936, bad = 5.185786589936788
good = 5.456197120849933, bad = 5.266624668217322
good = 5.619735423127366, bad = 5.339874767554377
good = 5.711266133962425, bad = 5.4053758794323015
good = 5.804013600705243, bad = 5.4902266430836635
good = 6.004573548004321, bad = 5.530630683487704
good = 6.134744952686597, bad = 5.560933713790734
good = 6.2856215007761875, bad = 5.6834567039026584
good = 6.374244689181985, bad = 5.808767785735479
good = 6.471647212887517, bad = 5.928049258679849
good = 6.585552461702974, bad = 6.063719581495729
good = 6.706183659262089, bad = 6.106031847301511
good = 6.801569586866906, bad = 6.176908045041548
good = 6.917898096624186, bad = 6.2526100454429026
good = 7.005468490716323, bad = 6.338315848540009
good = 7.10102335614075, bad = 6.406316768714842
good = 7.174943645995824, bad = 6.542245083132861
good = 7.299479877879882, bad = 6.572606670016186
good = 7.381718554137461, bad = 6.671151558834319
good = 7.479987277173446, bad = 6.784895419722256
good = 7.60818680849099, bad = 6.8558508732864025
good = 7.719355545551033, bad = 6.916456933892463
good = 7.847988650051416, bad = 6.956860974296504
good = 7.964488804849842, bad = 7.026948932439359
good = 8.05499920857655, bad = 7.085505094473782
good = 8.139363571267, bad = 7.125909134877823
good = 8.328058410987786, bad = 7.156212165180853
good = 8.43428438355398, bad = 7.252125667172092
good = 8.591572858364191, bad = 7.2824286974751224
good = 8.684961527665903, bad = 7.3352372269634945
good = 8.79649465609653, bad = 7.375641267367534
good = 8.89066819270485, bad = 7.406991797758154
good = 9.012950801400502, bad = 7.5888810839952665
good = 9.109796251843779, bad = 7.73077681574607
good = 9.21989770111914, bad = 7.801793399806132
good = 9.295285761850678, bad = 7.8962476733908415
good = 9.423888195045503, bad = 7.952653459572647
good = 9.496865473805393, bad = 8.169171026814855
good = 9.572062641359288, bad = 8.293051894066059
good = 9.658623717963843, bad = 8.376419733955636
good = 9.746013720235553, bad = 8.446977975530956
good = 9.851656883184255, bad = 8.55466024904208
good = 9.98738176356703, bad = 8.62050870857475
good = 10.08725765636226, bad = 8.698653865854503
good = 10.175875647800902, bad = 8.74825701690693
good = 10.269895925477188, bad = 8.85806823754509
good = 10.331409081886, bad = 8.994318068814685
good = 10.434168502175856, bad = 9.0784990086478
good = 10.52543583387797, bad = 9.153703021928228
good = 10.652443895864291, bad = 9.237070228088584
good = 10.793807342200557, bad = 9.342124026093632
good = 10.92759372936412, bad = 9.261049429146981
good = 11.038200011798041, bad = 9.378224785735098
good = 11.117462198886315, bad = 9.438830846341158
good = 11.235062918552712, bad = 9.408390739126979
good = 11.39297930245299, bad = 8.673423554041397
good = 11.48256980043708, bad = 8.683524564142406
good = 11.571285486711588, bad = 8.790764521649743
good = 11.699459228494026, bad = 8.777381553675589
good = 11.777242337832451, bad = 8.825553901226819
good = 11.853573255706848, bad = 8.87004714282151
good = 11.947201792628867, bad = 8.878449647347521
good = 12.036771956869162, bad = 8.921672884555981
good = 12.145154979643486, bad = 8.95197591485901
good = 12.265317487229906, bad = 8.97371171485568
good = 12.390749207381738, bad = 8.347468865353042
good = 12.486654143684934, bad = 8.347468865353042
good = 12.594317870185616, bad = 8.40562839979716
good = 12.674373446000915, bad = 8.43593143010019
good = 12.764149348278353, bad = 8.421109745318308
good = 12.832891186773633, bad = 8.49105722910947
good = 12.901759858862418, bad = 8.569192058489309
good = 12.987639411179172, bad = 8.609198971804519
good = 13.052070104298148, bad = 8.65328665995508
good = 13.149374408206802, bad = 8.392313677893567
good = 13.243538053074328, bad = 8.054162752018016
good = 13.327772874405062, bad = 7.981773288647479
good = 13.393949575125514, bad = 8.057424053360002
good = 13.462820175539589, bad = 8.143470438536824
good = 13.539686758953133, bad = 8.092289325886432
good = 13.6245137345031, bad = 8.072420082543115
good = 13.737250329016863, bad = 7.936802944537873
good = 13.74865879293133, bad = 7.961918339839603
good = 13.81884936640931, bad = 8.001980765275228
good = 13.883801152906006, bad = 7.910088411770493
good = 13.938018440941962, bad = 7.9162091183775205
good = 14.00961866455303, bad = 7.493420010988952
good = 14.089640794237086, bad = 7.474207805656576
good = 14.158982580154731, bad = 7.4270364214780535
good = 14.244109391748937, bad = 7.412568622008518
good = 14.32704486961962, bad = 7.43034536182198
good = 14.403949567147968, bad = 7.491572654511724
good = 14.48707235740119, bad = 7.45564586510541
good = 14.544928172252924, bad = 7.519790416206481
good = 14.58129048745035, bad = 7.5681530855688335
good = 14.668695654058526, bad = 5.639016439228294
good = 14.737178315898207, bad = 5.625524980898432
good = 14.818210752061075, bad = 5.642617174742992
good = 14.901341269575793, bad = 5.656051987018506
good = 14.977863612570966, bad = 5.720591097934427
good = 15.05201594466684, bad = 5.762257667439453
good = 15.134899646734432, bad = 4.331516591762812
good = 15.188016806020363, bad = 4.392597924622801
good = 15.274595826034163, bad = 4.418803187922605
good = 15.3424565698514, bad = 4.450894309684548
good = 15.41125017762772, bad = 4.439561473085676
good = 15.46462721002217, bad = 4.530468826439383
good = 15.550895117734983, bad = 4.490776773403841
good = 15.675839562179428, bad = 4.329654959094321
good = 15.76061869686407, bad = 4.355180445018913
good = 15.85084819960549, bad = 4.179928628497408
good = 15.9080128201003, bad = 4.214242974669462
good = 15.97039956441801, bad = 4.249218078999407
good = 16.061461825937165, bad = 4.127923413228304
good = 16.162099349915618, bad = 4.028482769785039
good = 16.235758496538594, bad = 4.06562820949243
good = 16.2999001260921, bad = 4.16376985704119
good = 16.364558482809983, bad = 4.25237839534847
good = 16.44784813222637, bad = 4.25237839534847
good = 16.522767706171972, bad = 4.21225760495822
good = 16.59321975850915, bad = 4.248333704156369
good = 16.657976266131264, bad = 4.329685732661065
good = 16.760898278071107, bad = 4.237732835812677
good = 16.82543096675686, bad = 4.2654499224635165
good = 16.889121686404007, bad = 4.336331916358147
good = 16.984892821923605, bad = 4.2461433284476575
good = 17.085597260923194, bad = 4.054205641353479
good = 17.15778522411757, bad = 3.5952383652041817
good = 17.236968194765275, bad = 3.6460356623782904
good = 17.326039586504045, bad = 3.3166212521125362
good = 17.431982472677685, bad = 3.2007680097174145
good = 17.51465000999192, bad = 3.231071040020445
good = 17.5831539450777, bad = 3.2613740703234755
good = 17.659339917143974, bad = 3.2815760905254954
good = 17.730539107533378, bad = 3.304077424692477
good = 17.82090566200532, bad = 3.2950330331131954
good = 17.881061828333614, bad = 3.3746057709204513
good = 17.962249268960253, bad = 3.3390398626404476
good = 18.02540140711686, bad = 3.2538302577588634
good = 18.096323667245045, bad = 3.3029035915117753
good = 18.167734235208883, bad = 3.3431952126924136
good = 18.249592474750873, bad = 3.2927813826840904
good = 18.32094015871232, bad = 3.343441879129606
good = 18.391020007422945, bad = 3.3688643185850737
good = 18.455291992584215, bad = 3.3958894673176796
good = 18.54066576842635, bad = 3.380690297185009
good = 18.610043284771976, bad = 3.341782031410076
good = 18.688472699190587, bad = 3.309543865560043
good = 18.790356954807283, bad = 3.0062230549674207
good = 18.854874731007644, bad = 3.02330637992391
good = 18.96003465505631, bad = 2.88132568996879
good = 19.04148265643796, bad = 2.859361713719432
good = 19.150591367657128, bad = 2.6989261818912107
good = 19.228192793575666, bad = 2.6795476562830327
good = 19.308361769481873, bad = 2.7286228875440575
good = 19.388625137797714, bad = 2.6798199528578626
good = 19.464605986659, bad = 2.720849297986375
good = 19.52725027232502, bad = 2.786914800230828
good = 19.619046067108627, bad = 2.7574759548410728
good = 19.691683089506515, bad = 2.777677975043093
good = 19.755007340822647, bad = 2.850580917511253
good = 19.837183105577274, bad = 2.873102127143225
