good = 5.261609352506091, bad = 5.125442584928751
good = 5.436875786839023, bad = 5.206250665736833
good = 5.622575579799686, bad = 5.294650188918964
good = 5.715012087736193, bad = 5.537747832016606
good = 5.811740465214119, bad = 5.613820079683056
good = 5.97762998149494, bad = 5.658533732301847
good = 6.08083812902374, bad = 5.789907860052786
good = 6.244679631000024, bad = 5.85383647425808
good = 6.353157891869589, bad = 5.920005409992235
good = 6.475642349738503, bad = 6.064346520980157
good = 6.613404565468585, bad = 6.194259667287873
good = 6.724615981690298, bad = 6.224918146306382
good = 6.907562804172352, bad = 4.312490969893735
good = 7.033505802278163, bad = 4.428904744216853
good = 7.132372102644463, bad = 4.46576048107259
good = 7.223807920449847, bad = 4.550968670628605
good = 7.340832165845946, bad = 4.671587301087054
good = 7.444085789034351, bad = 4.763301544975211
good = 7.5665001848150055, bad = 4.844369435477712
good = 7.6947282454727315, bad = 4.925481311164493
good = 7.802260973614157, bad = 4.985827659088479
good = 7.92286138769283, bad = 5.053943601117465
good = 8.082091128712046, bad = 5.074145621319484
good = 8.209365230838472, bad = 5.172489724064377
good = 8.365379723592095, bad = 5.212893764468418
good = 8.482470396204505, bad = 5.381640315823665
good = 8.711172264365958, bad = 5.411943346126695
good = 8.827299321773335, bad = 5.487774159868317
good = 8.929516368012122, bad = 5.601454789490975
good = 9.064770179418103, bad = 5.674969914389498
good = 9.191284672171726, bad = 5.705272944692529
good = 9.343259289686717, bad = -5.971267320874346
good = 9.441938378713633, bad = -5.898017221537289
good = 9.603271579329443, bad = -5.838803971019691
good = 9.703911330882237, bad = -5.783718959412941
good = 9.787346113490933, bad = -5.73345259668281
good = 9.905839603093117, bad = -5.67274430824066
good = 10.057162770264112, bad = -5.632340267836621
good = 10.141153577034176, bad = -5.511196557331208
good = 10.345854405191526, bad = -5.401277490890402
good = 10.488906793285317, bad = -5.343205381039988
good = 10.549462536549411, bad = -5.131000904868565
good = 10.659510705390487, bad = -5.05497906202334
good = 10.751414456864033, bad = -4.984192911915368
good = 10.882021030829303, bad = -4.904253495744068
good = 11.016492085918005, bad = -4.871177639138798
good = 11.081341555771825, bad = -4.7192500566446824
good = 11.1630270630182, bad = -4.623720851550259
good = 11.293654611797923, bad = -4.523838788558842
good = 11.416774600504866, bad = -4.457886081235911
