good = 5.229620529620529, bad = 5.38568796068796
good = 5.358950594980008, bad = 5.485442862648746
good = 5.483603372757785, bad = 5.556797029315411
good = 5.627016071170483, bad = 5.66132083883922
good = 5.7064222014386825, bad = 5.843619689413934
good = 5.851227396243877, bad = 5.927710598504842
good = 6.000880174021655, bad = 6.082398098504842
good = 6.109213507354989, bad = 6.116110219716965
good = 6.1640746184661, bad = 6.274443553050299
good = 6.224005174021655, bad = 6.382637997494742
good = 6.296921840688322, bad = 6.582429664161409
good = 6.390671840688323, bad = 6.729999108605855
good = 6.490224108473349, bad = 6.8841071567009715
good = 6.5485076275547405, bad = 6.908043326913738
good = 6.6170459873431, bad = 7.021584993580404
good = 6.651073765120877, bad = 2.7679578476163074
good = 6.694056221261228, bad = 2.8358525844584124
good = 6.746833999039006, bad = 2.8671025844584124
good = 6.767667332372339, bad = 2.990019251125079
good = 6.788222887927895, bad = 3.0400192511250794
good = 6.857111776816784, bad = 3.119185917791747
good = 6.863332014912021, bad = 3.151924013029841
good = 6.96736710263132, bad = 3.200169627064928
good = 7.009448839540643, bad = 3.2385843780227823
good = 7.106671061762865, bad = 3.3784653304037358
good = 7.172134024725827, bad = 3.4011042192926237
good = 7.254156083549356, bad = 3.4461226016455653
good = 7.331100527993799, bad = 3.458483712756676
good = 7.353164020057291, bad = 3.4789599032328664
good = 7.453416545309817, bad = 3.547672024444987
good = 7.508972100865375, bad = 3.6843386911116545
good = 7.546273688166958, bad = 3.752731548254511
good = 7.608545513563786, bad = 3.803192857778321
good = 7.644427686945958, bad = 3.940944689280152
good = 7.692304671072941, bad = 4.050528022613486
good = 7.7223046710729415, bad = -0.1802850293592712
good = 7.751129902554421, bad = -0.13472079324815983
good = 7.897305116229636, bad = -0.08783434636171282
good = 7.951821798109533, bad = 0.03144756853190442
good = 7.965313861601597, bad = 0.02504188009413514
good = 8.02803454631715, bad = 0.06256148241915771
good = 8.10068666271927, bad = 0.07511108559376091
good = 8.18651059755636, bad = -4.432213982258872
good = 8.210106255565698, bad = -4.310078565592206
good = 8.23320810741755, bad = -4.262271125340445
good = 8.250043351696371, bad = -4.24185445867378
good = 8.272774833177852, bad = -4.19372945867378
good = 8.293885944288961, bad = -4.217989781943772
good = 8.311361318189187, bad = -4.215522693588256
good = 8.311247296906133, bad = -4.187486979302541
good = 8.327916885811373, bad = -4.182278645969208
good = 8.338453515840039, bad = -4.170448288826351
good = 8.355356931635356, bad = -4.200022589170293
good = 8.380218042746467, bad = -4.2201838134624134
good = 8.428699393108548, bad = -4.272099094678975
good = 8.446383877853656, bad = -4.439162456395334
good = 8.459346740183422, bad = -4.421739099369013
good = 8.505853482656573, bad = -4.428547051458245
good = 8.536693744858043, bad = -4.436123760058254
good = 8.569613763114603, bad = -4.556396230738361
good = 8.586280429781269, bad = -4.57182291830307
good = 8.57901223585374, bad = -4.54697172782688
good = 8.583930223502026, bad = -4.544857676403654
good = 8.600596890168694, bad = -4.503186309668677
good = 8.637333588470689, bad = -6.6261244561714525
good = 8.656982582294665, bad = -6.632315170890641
good = 8.661444985286384, bad = -6.640409262309261
good = 8.667694985286385, bad = -6.648189351831486
good = 8.69915319557518, bad = -6.608792118629906
good = 8.683030594085029, bad = -6.583271479293751
good = 8.702472299918156, bad = -6.667102699048957
good = 8.721089934597822, bad = -6.637119726292546
good = 8.729549530557419, bad = -6.594913457993528
good = 8.763354704385739, bad = -6.933281953384187
good = 8.780947296978331, bad = -6.937486200626764
good = 8.8160084092556, bad = -7.022828562244659
good = 8.815931622144092, bad = -7.014886071940758
good = 8.856556622144092, bad = -7.025466386826175
good = 8.863074673737048, bad = -7.006882954817869
good = 8.904748392738357, bad = -7.424988320807286
good = 8.9221910722742, bad = -14.480648584075439
good = 8.971130466213598, bad = -14.460004644681502
good = 9.000297132880265, bad = -14.435004644681504
