good = 5.2037238811772975, bad = 5.193179671586441
good = 5.400841208375734, bad = 5.262731748213819
good = 5.56539252455438, bad = 5.316639789399363
good = 5.678362257375045, bad = 5.392139208114423
good = 5.804406704539217, bad = 5.4534789632927625
good = 6.0292077585576624, bad = 5.503954875863802
good = 6.209311809096495, bad = 5.584719991499066
good = 6.400092711286093, bad = 5.644545323900997
good = 6.5153225249506885, bad = 5.761518380996609
good = 6.6380348321090095, bad = 5.800401267641826
good = 6.767423774969192, bad = 5.88308950677822
good = 6.885979584783582, bad = 5.984423427125241
good = 7.074626713758835, bad = 6.051537521084972
good = 7.242455418598773, bad = 6.1186886887744185
good = 7.391310039515507, bad = 6.176945709651807
good = 7.489702231174778, bad = 6.258391372247163
good = 7.673440770068598, bad = 6.329490626071832
good = 7.8045297969837115, bad = 6.400573205587444
good = 8.02539077667375, bad = 6.454122331721288
good = 8.172204622106522, bad = 6.507813606889072
good = 8.323638965934833, bad = 6.527947835076992
good = 8.400102734050774, bad = 6.614693148901383
good = 8.512820636467271, bad = 6.723827184262131
good = 8.648975799584862, bad = 6.8555935602226326
good = 8.749714575095068, bad = 6.963596116950021
good = 8.909446629343746, bad = 7.010575982721833
good = 9.104666163381617, bad = 6.564181435219176
good = 9.241285977960779, bad = 6.59723184490586
good = 9.359137106818118, bad = 6.693185082732457
good = 9.4741707439884, bad = 6.750280695999648
good = 9.594744351921278, bad = 6.808184135660954
good = 9.71431401739334, bad = 6.868586820224713
good = 9.874190976872784, bad = 6.963119036379339
good = 10.048997110697552, bad = 7.066939982803146
good = 10.169035265089741, bad = 7.167704916731196
good = 10.279948801518804, bad = 7.236019560943128
good = 10.423446711200565, bad = 7.300337426393179
good = 10.628890829539094, bad = 7.4021126346171755
good = 10.71797940949063, bad = 7.528991214877536
good = 10.905943917032774, bad = 6.471241687238311
good = 11.037889039339543, bad = 6.500386016906605
good = 11.180592402416636, bad = 6.540686526752208
good = 11.325476726156532, bad = 6.585218776813922
good = 11.450310450784306, bad = 6.591930186209895
good = 11.574904269980609, bad = 6.6987483136874895
good = 11.691614954254316, bad = 6.736635504357941
good = 11.78748715272527, bad = 6.84408332029715
good = 11.886524833884694, bad = 6.966989652366013
good = 11.999703828802815, bad = 7.005172135835919
good = 12.127090992363899, bad = 6.746981553855831
good = 12.352029532085039, bad = 6.8019212223642205
good = 12.451032903868532, bad = 6.767943425606237
good = 12.602179778880537, bad = 6.103278010394199
good = 12.699880889364257, bad = 6.169559146824154
good = 12.84107801621303, bad = 6.2195187210452
good = 12.98646062670123, bad = 5.495203786378926
good = 13.06838873890721, bad = 5.576615339773648
good = 13.204258049477293, bad = 5.355274631335158
