good = 5.2663979551867754, bad = 5.196272168697031
good = 5.443747723187622, bad = 5.323620707717586
good = 5.711994987310662, bad = 5.370600573489398
good = 5.847286715596179, bad = 5.431816593795001
good = 5.9685406246960495, bad = 5.5068957432582994
good = 6.14996666863141, bad = 5.589101602762088
good = 6.362545900993253, bad = 5.642792877929873
good = 6.5537660779177775, bad = 5.700463956972414
good = 6.712358210422955, bad = 5.7556142341828025
good = 6.918493543650946, bad = 5.769037052974749
good = 7.029497580391952, bad = 5.851331699329734
good = 7.197255017462893, bad = 5.913466415558102
good = 7.385746609604944, bad = 6.025194701511355
good = 7.556757301393221, bad = 6.07162845409713
good = 7.738334491032522, bad = 6.1475700722914475
good = 7.908882849506347, bad = 6.194549938063259
good = 8.053739774427346, bad = 6.277521592469189
good = 8.16055550941699, bad = 6.361813003810498
good = 8.380912276423503, bad = 6.402081460186338
good = 8.551677893869428, bad = 6.490780219349746
good = 8.70761169978549, bad = 6.517625856933638
good = 8.826413829332958, bad = 6.555008268316633
good = 8.946290041602762, bad = 6.604900433804762
good = 9.094919913725258, bad = 6.645430923688949
good = 9.210047509111236, bad = 6.184542870884088
good = 9.408711188629866, bad = 6.224811327259927
good = 9.558140216991783, bad = 5.70509200812085
good = 9.688075931028724, bad = 5.766686696661998
good = 9.831234759777617, bad = 5.807657326719292
good = 9.979318435935827, bad = 5.834502964303185
good = 10.077722126321211, bad = 5.935387068347948
good = 10.202770467509747, bad = 6.0238383949751055
good = 10.335118293596706, bad = 6.064106851350944
good = 10.481703251771727, bad = 6.09766389833081
good = 10.604280004211835, bad = 6.1620503532337505
good = 10.714688206913207, bad = 6.20231306623647
good = 10.848057831767303, bad = 6.267216561729403
good = 11.001429357412121, bad = 6.3679826179667165
good = 11.101895625619632, bad = 6.492783085896526
good = 11.277466166879613, bad = 6.571485824651789
good = 11.37139722219098, bad = 6.673797857918795
good = 11.484293358429309, bad = 6.715389473006056
good = 11.63355903532624, bad = 6.759673876882553
good = 11.738755980257736, bad = 6.839744374372001
good = 11.873263399833482, bad = 6.90234059433618
good = 11.95468581227672, bad = 7.019827612487474
good = 12.053575013069027, bad = 7.069092599680678
good = 12.203463211826792, bad = 7.17165460726749
good = 12.3099567183203, bad = 7.250574196254193
good = 12.414869017890984, bad = 7.199286915447198
