good = 5.237534317006367, bad = -1.3982950544985293
good = 5.449760697859712, bad = -1.3580265981226902
good = 5.617655403568081, bad = -1.3021370932107166
good = 5.7409802581475935, bad = -1.1636717780894346
good = 5.8670185328877755, bad = -1.0668385264506326
good = 6.087551887731689, bad = -1.0064358418868742
good = 6.227631518246103, bad = -0.8655373959111006
good = 6.377757624024382, bad = -0.7409807704207146
good = 6.550668597109269, bad = -0.699836912819314
good = 6.657490113804094, bad = -0.6379577397609874
good = 6.78168913811222, bad = -0.5760371768064361
good = 6.918163439808492, bad = -0.5050581779036738
good = 7.154050509561486, bad = -0.4580783121318618
good = 7.336084655319697, bad = -0.41780985575602286
good = 7.484278383140754, bad = -0.32962026231402203
good = 7.5891009208514895, bad = -0.21680188722543994
good = 7.749561139721646, bad = -0.1450729588350163
good = 7.873900684235103, bad = -0.08112003596759179
good = 8.02356114439786, bad = -0.019282619378269
good = 8.211216595511111, bad = -0.012571209982295847
good = 8.35981502045204, bad = 0.04334032883807608
good = 8.472030341363011, bad = 0.10830065787777499
good = 8.577984253057362, bad = 0.20384274234680175
good = 8.734052575518207, bad = 0.283933356475086
good = 8.88975538533779, bad = 0.3568339914883558
good = 9.021215095197205, bad = 0.44302560340131536
good = 9.265860268598376, bad = 0.020834010910517488
good = 9.371797001762463, bad = 0.15064803565615772
good = 9.532707580486704, bad = 0.24168976311457677
good = 9.669644043609503, bad = 0.3131197240689031
good = 9.758207814503065, bad = 0.38031319737609215
good = 9.891910791797876, bad = 0.4625842021782569
good = 10.032678611969423, bad = 0.534456032322629
good = 10.156527647681811, bad = 0.7091067714612588
good = 10.26071191269216, bad = 0.8169714872337652
good = 10.390458930339799, bad = 0.8524933236310032
good = 10.497039324410876, bad = 0.9454434367737035
good = 10.695466462490186, bad = 1.0355357262240314
good = 10.789165164343377, bad = 1.118528288410294
good = 11.015559722166506, bad = 1.1812320276241006
good = 11.185745241409046, bad = 1.2772669082491086
good = 11.281979716117558, bad = 1.3887568912498423
good = 11.406318238312373, bad = 1.4653756418826922
good = 11.506976663030294, bad = 1.550833370614422
good = 11.657768363337523, bad = 1.6484992114521326
good = 11.760270349639292, bad = 1.7787443646636947
good = 11.884175158150315, bad = 1.8135729877152535
good = 12.01282940245673, bad = 1.917640685410031
good = 12.111884012443014, bad = 2.0467032060686994
good = 12.317363581872897, bad = 1.9196562664368861
good = 12.556338114586561, bad = 1.6928449371863186
good = 12.707466863477421, bad = 1.768967743472533
good = 12.862510226503034, bad = -1.9154280008692168
good = 12.970009567741508, bad = -1.8825553584838806
good = 13.111715558514138, bad = -1.773800863426941
good = 13.27224170244693, bad = -2.131016141835558
good = 13.397600204291606, bad = -2.095806583068492
good = 13.51494881646375, bad = -2.077206705610138
good = 13.622024854670222, bad = -1.9985875842130763
good = 13.717129426918167, bad = -1.950854456274664
good = 13.881242608422651, bad = -1.884045131630498
good = 13.999508496947916, bad = -1.8852266852497002
good = 14.077273625071951, bad = -1.7445591246731063
good = 14.191716097713181, bad = -1.6887224217398171
good = 14.334060495076217, bad = -1.7318675641158474
good = 14.477177077941247, bad = -1.6802662159732547
good = 14.611327444863665, bad = -1.715492233478649
good = 14.764691041593718, bad = -1.9293810635493092
good = 14.862222982494197, bad = -1.863355780911352
good = 14.975774293186722, bad = -1.8432215527234326
good = 15.103467396409568, bad = -1.8801267780698914
good = 15.231278620239832, bad = -1.8711822048196105
good = 15.298303000455139, bad = -1.811728289349365
good = 15.346896757242051, bad = -1.7819708224797366
good = 15.472635848559044, bad = -1.9774806903824584
good = 15.576737614813421, bad = -2.0134681767272973
good = 15.656843837664118, bad = -2.2073188630427576
good = 15.728468652231014, bad = -2.141781290742209
good = 15.833250906002089, bad = -2.6107103748946594
good = 15.920823881224367, bad = -2.6658003230455396
good = 16.010229892458177, bad = -2.855846649405166
good = 16.1128202424073, bad = -3.4781823361978668
good = 16.12454317432236, bad = -3.5824842442783833
good = 16.18735139622261, bad = -12.487520919783606
good = 16.254047695864635, bad = -12.473529568312312
good = 16.349768933819664, bad = -12.496689427203012
good = 16.407220636862863, bad = -12.499507259357225
good = 16.497838501128218, bad = -12.570885858660052
good = 16.578350410649275, bad = -12.538475847165296
good = 16.66147670464514, bad = -12.522575033200576
good = 16.740635706461784, bad = -12.470098203488202
good = 16.81508419131027, bad = -12.54351314971487
