good = 5.24120795838187, bad = 5.379919909423014
good = 5.41360128524067, bad = 5.441144399218933
good = 5.628041588898365, bad = 5.481960725749545
good = 5.744216422116678, bad = 5.522777052280158
good = 5.839314492129291, bad = 5.563593378810769
good = 6.01911414497242, bad = 5.604409705341382
good = 6.119189086134318, bad = 5.65933200871089
good = 6.28419918714442, bad = 5.65933200871089
good = 6.390898059930249, bad = 5.65933200871089
good = 6.49638040906517, bad = 5.65933200871089
good = 6.594816675592172, bad = 5.682872399752534
good = 6.698638468399471, bad = 5.705203071151528
good = 6.833041563408263, bad = 5.807243887478059
good = 6.931468260225339, bad = 5.827652050743366
good = 7.016123212358553, bad = 5.944039468905404
good = 7.097093996807599, bad = 6.036522673367313
good = 7.2059770256357085, bad = 6.056930836632619
good = 7.291729038518157, bad = 6.247880259880178
good = 7.402278788425183, bad = 6.362794473914796
good = 7.51838053909471, bad = 6.488607328700981
good = 7.642079748098267, bad = 6.509015491966287
good = 7.740329575565482, bad = 6.549831818496899
good = 7.842007619306073, bad = 6.673718287108535
good = 7.951546393424241, bad = 6.789887364863147
good = 8.045089480610807, bad = 6.789887364863147
good = 8.132928119695825, bad = 6.883613238713245
good = 8.30057365154192, bad = 6.904021401978551
good = 8.389695806660221, bad = 6.959969532245472
good = 8.49657840768775, bad = 7.056100572653353
good = 8.590756461517978, bad = 7.149484916791911
good = 8.676274429973263, bad = 7.169893080057217
good = 8.762682073399542, bad = 7.21070940658783
good = 8.874337007837088, bad = 7.283561901623111
good = 8.952082025031382, bad = 7.512187283930836
good = 9.023827826733704, bad = 7.610036609996664
good = 9.101782216734472, bad = 7.734587531814667
good = 9.192168460978689, bad = 7.734587531814667
good = 9.325464114332313, bad = 7.754995695079973
good = 9.402051612454503, bad = 7.823086452474851
good = 9.61774887493437, bad = 7.823086452474851
good = 9.721764316250615, bad = 7.8921056082779755
good = 9.819587430837114, bad = 7.912513771543281
good = 9.917117908766675, bad = 8.058235226103292
good = 9.988212993866336, bad = 8.126989834249857
good = 10.064772234266153, bad = 8.218014760811608
good = 10.1781589738251, bad = 8.42835860849561
good = 10.263842012632777, bad = 8.493024842389882
good = 10.336222044838895, bad = 8.635195797728542
good = 10.436988996620338, bad = 8.635195797728542
good = 10.544674129522864, bad = 8.73557440955347
good = 10.665091818114465, bad = 8.776390736084082
good = 10.767347028604458, bad = 8.906117148388134
good = 10.85508381677603, bad = 9.024834206882097
good = 10.939886627491886, bad = 9.024834206882097
good = 11.045142284032728, bad = 9.08933598401152
good = 11.1530887688573, bad = 9.178201044289493
good = 11.270670869035282, bad = 9.219017370820104
good = 11.357620331258943, bad = 9.265034196522718
good = 11.474823228114014, bad = 9.329262464477694
good = 11.548807099805256, bad = 9.44130153032586
good = 11.644188742317336, bad = 9.532280530621632
good = 11.735264181694909, bad = 9.573096857152244
good = 11.821842550822788, bad = 9.573096857152244
good = 11.903769396923549, bad = 9.613913183682858
good = 11.969825081848798, bad = 9.738854040374049
good = 12.046176818678791, bad = 9.875129233681184
good = 12.155239911085822, bad = 9.742478535746512
good = 12.245653295304955, bad = 9.798580389718818
good = 12.332215873354658, bad = 9.83939671624943
good = 12.423978571526266, bad = 9.838921332206501
good = 12.496757751094455, bad = 9.869916474475719
good = 12.573527295291536, bad = 9.921515151850794
good = 12.651024031412382, bad = 9.946377937589464
good = 12.729271239259749, bad = 10.00760242738538
good = 12.801694056807207, bad = 10.066667971916765
good = 12.88513369987478, bad = 10.037007383823987
good = 12.94769357024768, bad = 10.057415547089292
good = 13.027109215683579, bad = 10.057415547089292
good = 13.10174807310552, bad = 10.077823710354599
good = 13.157922856130197, bad = 10.147329123604468
good = 13.223194082841754, bad = 9.994910467757023
