good = 5.207926947274772, bad = 5.0
good = 5.364437948256362, bad = 5.061224489795919
good = 5.537939673584172, bad = 5.1020408163265305
good = 5.642472148087663, bad = 5.196828213687131
good = 5.74634171383389, bad = 5.217236376952437
good = 5.934153579906627, bad = 5.243185051170854
good = 6.056019057424276, bad = 5.2840013777014665
good = 6.202289588825242, bad = 5.362174053886566
good = 6.304737253881603, bad = 5.410680412951931
good = 6.405058829775542, bad = 5.5031969181217395
good = 6.507938358704221, bad = 5.5975199786498075
good = 6.6350773817852735, bad = 5.617928141915114
good = 6.747520052224945, bad = 5.658744468445726
good = 6.843281629052203, bad = 5.731084714177957
good = 6.930150793167745, bad = 5.80596220777772
good = 7.013442258546168, bad = 5.861634663095252
good = 7.122657276768049, bad = 5.948784213991124
good = 7.2056460046263435, bad = 6.11790577565927
good = 7.3086471312040295, bad = 6.237745311404827
good = 7.426688172477808, bad = 6.287485998193377
good = 7.517210912677568, bad = 6.531697741999493
good = 7.5990650649665055, bad = 6.630400577170829
good = 7.695575503704254, bad = 6.71961577725326
good = 7.789856372586033, bad = 6.801248430314484
good = 7.882732194992289, bad = 6.8420647568450965
good = 7.955633937183036, bad = 6.869859241417075
good = 8.11099245139981, bad = 6.8902674046823815
good = 8.192464286455168, bad = 7.053722756365337
good = 8.301040315900764, bad = 7.161355043234535
good = 8.389303067641778, bad = 7.221079170039407
good = 8.479564635172425, bad = 7.241487333304713
good = 8.546395379767143, bad = 7.382045697490913
good = 8.644157514572754, bad = 7.46840222768063
good = 8.742651990574474, bad = 7.491245567915275
good = 8.816806809990162, bad = 7.607398861530857
good = 8.89073531240562, bad = 7.687667026767966
good = 8.976192965434288, bad = 7.748891516563885
good = 9.09724168161344, bad = 7.79948538685607
good = 9.179695892561638, bad = 7.893457678479817
good = 9.389955841952018, bad = 7.913865841745124
good = 9.497274591896012, bad = 7.913865841745124
good = 9.591310132765194, bad = 7.913865841745124
good = 9.706942274163925, bad = 7.968115865449216
good = 9.763540429631647, bad = 8.083766794012863
good = 9.854971633091834, bad = 8.14499128380878
good = 9.947732635721554, bad = 8.219647233145038
good = 10.023965534760249, bad = 8.219647233145038
good = 10.115151364067817, bad = 8.240055396410343
good = 10.206136996792576, bad = 8.280871722940956
good = 10.302391578496433, bad = 8.509341488411609
good = 10.421417880160417, bad = 8.590974141472834
good = 10.532090527963502, bad = 8.590974141472834
good = 10.628052203279214, bad = 8.657994964483011
good = 10.710968320977939, bad = 8.763921129415385
good = 10.836728523156468, bad = 8.81381793201473
good = 10.952662316369034, bad = 8.81381793201473
good = 11.03021428324274, bad = 8.875042421810647
good = 11.129016938955882, bad = 8.941403828033216
good = 11.242731672322789, bad = 9.028764517523452
good = 11.34242048960205, bad = 9.077064440864573
good = 11.451897676934312, bad = 9.163153369189526
good = 11.543879656843826, bad = 9.183561532454831
good = 11.613827660415565, bad = 9.218483467251385
good = 11.680369873436039, bad = 9.30011612031261
good = 11.760950173755472, bad = 9.365057549939046
good = 11.846942122225679, bad = 9.43537909470602
good = 11.929656062965936, bad = 9.523440087500033
good = 12.01912959081119, bad = 9.564256414030647
good = 12.097643031123473, bad = 9.644881378861868
good = 12.202418440804252, bad = 9.644881378861868
good = 12.28418951865129, bad = 9.668620678243366
good = 12.368845170299693, bad = 9.714555506010491
good = 12.450031833286781, bad = 9.813412829337759
good = 12.530384831774835, bad = 9.813875389633811
good = 12.6198129779711, bad = 9.55836571795743
good = 12.688318165270747, bad = 9.568230710288374
good = 12.747825293569523, bad = 9.632521076681638
good = 12.809101251786766, bad = 9.507936488464667
good = 12.874656852046593, bad = 9.54202614917367
good = 12.937000227295794, bad = 9.58536018278477
good = 13.008941859516842, bad = 9.5406518912391
good = 13.084567020222321, bad = 9.601876381035018
good = 13.151003771466696, bad = 9.601876381035018
good = 13.23309122563541, bad = 9.642692707565631
good = 13.308546627131369, bad = 9.613542654885544
good = 13.359987582286259, bad = 9.751392432738905
good = 13.410794894486555, bad = 9.842377283439816
good = 13.490132323265653, bad = 9.842377283439816
good = 13.55887000982645, bad = 9.891574277545258
good = 13.624410089991148, bad = 9.979418110730705
good = 13.701396204300249, bad = 9.967805542057382
good = 13.747201035218119, bad = 10.073395604169182
good = 13.826985547917312, bad = 10.093803767434489
good = 13.898497896453149, bad = 10.099340469689913
good = 13.956648812018027, bad = 10.11974863295522
good = 14.022174930434709, bad = 10.203333371198344
good = 14.118651195698845, bad = 9.95423463418315
good = 14.183727856021884, bad = 10.06049962351443
good = 14.251907632544578, bad = 10.082329234380374
good = 14.324300010429708, bad = 10.075091966320834
good = 14.394351693199468, bad = 10.157020389864163
good = 14.471373634096008, bad = 10.17742855312947
good = 14.534746688772053, bad = 10.231047873368134
good = 14.605211006934022, bad = 10.271864199898745
good = 14.680448176600095, bad = 10.292272363164052
good = 14.733658019471031, bad = 10.408752645214339
good = 14.80283774816597, bad = 10.429160808479645
good = 14.870495178709959, bad = 10.568131459208704
good = 14.937140139391504, bad = 10.395031393755799
good = 15.011914104149922, bad = 10.492797750439635
good = 15.063170442555398, bad = 10.589951405418482
good = 15.132949009522141, bad = 10.630767731949094
good = 15.221712863882454, bad = 10.632079147761111
good = 15.297650746378212, bad = 10.597701845862927
good = 15.365687075545322, bad = 10.549136683649332
good = 15.418128666949544, bad = 10.594774959317313
good = 15.481091404694887, bad = 10.671832181893613
good = 15.563796740858693, bad = 10.606046138154953
good = 15.62376165752145, bad = 10.61958444489762
good = 15.7006273119958, bad = 10.639992608162926
good = 15.775641892834921, bad = 10.639992608162926
good = 15.860817307436424, bad = 10.632450399818827
good = 15.927370530584126, bad = 10.698130278998505
good = 16.005575192013204, bad = 10.671216292939553
good = 16.066391412475767, bad = 10.691624456204858
good = 16.14461412451854, bad = 10.654165083743822
good = 16.227672390930813, bad = 10.693455234586766
good = 16.298720489719933, bad = 10.74952651164035
good = 16.38071872926669, bad = 10.805723769967155
good = 16.450909798546213, bad = 10.805723769967155
good = 16.531632951622385, bad = 10.815136626559223
good = 16.60960188494508, bad = 10.784099848296842
good = 16.678868381299292, bad = 10.792625594383285
good = 16.751296590234837, bad = 10.848152723872923
good = 16.81476287724932, bad = 10.91209254851429
good = 16.889280554256754, bad = 10.91209254851429
good = 16.944395262701953, bad = 10.952908875044901
good = 17.016303929653915, bad = 10.95912533316762
good = 17.083835100576394, bad = 10.969752665605727
good = 17.146468408712536, bad = 11.02886559353278
good = 17.224012909490092, bad = 10.861044816702316
good = 17.309175495065247, bad = 10.881452979967623
good = 17.392657060198985, bad = 10.888787198418244
good = 17.461448076550685, bad = 10.86858554240699
good = 17.524604589719836, bad = 10.95576258417904
good = 17.59970353560045, bad = 10.928100822055985
good = 17.66950293511934, bad = 10.928100822055985
good = 17.74402053346303, bad = 11.080422620340515
good = 17.81295465815656, bad = 11.10901658380582
good = 17.886652170940287, bad = 11.019003382692242
good = 17.952059499616162, bad = 11.082882327833257
good = 18.027253655969737, bad = 10.931044288771778
good = 18.083847117313773, bad = 11.012530909790456
good = 18.13782300219608, bad = 11.087512366372433
good = 18.210595438855037, bad = 11.087512366372433
good = 18.283558957095916, bad = 11.116390037875634
good = 18.359305049555317, bad = 11.10932599220155
good = 18.42522212902557, bad = 11.129734155466856
good = 18.50232071855363, bad = 11.190958645262775
good = 18.5700566283765, bad = 11.168214671448252
good = 18.642939076041554, bad = 11.159203481710081
good = 18.72731393001994, bad = 11.223926513780052
good = 18.796722916546123, bad = 11.223926513780052
good = 18.869399004207946, bad = 11.294531141977336
good = 18.952669763157264, bad = 11.379298962148884
