good = 5.18384830058743, bad = 5.204493339142851
good = 5.335652586478673, bad = 5.288237070749206
good = 5.504647295473383, bad = 5.329053397279818
good = 5.614797130608726, bad = 5.369869723810431
good = 5.719595172857441, bad = 5.451502376871655
good = 5.8826730740223, bad = 5.513933763881569
good = 5.985620346824645, bad = 5.603294368770124
good = 6.134364835186525, bad = 5.684927021831348
good = 6.245379327940149, bad = 5.684927021831348
good = 6.349653682898641, bad = 5.766559674892573
good = 6.44241428013939, bad = 5.844936848559281
good = 6.551420693112241, bad = 5.905600931125946
good = 6.690103637744211, bad = 5.926009094391252
good = 6.797376523422278, bad = 5.9668254209218645
good = 6.888027080971386, bad = 6.057214593209883
good = 6.9750158088296805, bad = 6.204482941543003
good = 7.0646813737080585, bad = 6.320481011251436
good = 7.154504240052662, bad = 6.440563826986426
good = 7.25369993996292, bad = 6.481380153517038
good = 7.355675145269756, bad = 6.651163903644229
good = 7.476549265858161, bad = 6.671572066909535
good = 7.5647802297413, bad = 6.72130376082934
good = 7.665018571166521, bad = 6.741711924094647
good = 7.751639483274454, bad = 6.834533902887683
good = 7.836714799584553, bad = 6.927564705270747
good = 7.924475949678185, bad = 6.958544410419251
good = 8.106820265996118, bad = 7.019768900215169
good = 8.202692758240662, bad = 7.083764197223946
good = 8.331886531724292, bad = 7.148256246631702
good = 8.427441501714044, bad = 7.172589322606305
good = 8.521397632924895, bad = 7.2134056491369165
good = 8.598483176320999, bad = 7.2134056491369165
good = 8.689271306065653, bad = 7.384124371408434
good = 8.786624765274182, bad = 7.4249406979390455
good = 8.859586117931187, bad = 7.476599125285138
good = 8.936150062413972, bad = 7.497007288550444
good = 9.021031624008575, bad = 7.599335534099631
good = 9.157091978039942, bad = 7.483727367607476
good = 9.274223728828185, bad = 7.524543694138088
good = 9.4882131468176, bad = 7.566720564886388
good = 9.597223048410468, bad = 7.676939753542008
good = 9.688611078753727, bad = 7.697347916807314
good = 9.823278087954378, bad = 7.630090763583961
good = 9.897599147520289, bad = 7.737361622832589
good = 9.96561502468109, bad = 7.787503779185925
good = 10.045609521674736, bad = 7.886821518704092
good = 10.111745866489342, bad = 8.087450498321537
good = 10.205362613671303, bad = 8.182451977173947
good = 10.303633382087, bad = 8.202860140439254
good = 10.415342718376042, bad = 8.22326830370456
good = 10.527634769320269, bad = 8.264084630235173
good = 10.618838588045826, bad = 8.411523469124765
good = 10.726770973121065, bad = 8.452339795655377
good = 10.795182040314742, bad = 8.616435947950286
good = 10.917317851881648, bad = 8.657252274480898
good = 11.031472846519165, bad = 8.677660437746205
good = 11.120279016533575, bad = 8.738884927542122
good = 11.24972774077514, bad = 8.869152054155615
good = 11.358419074683868, bad = 8.950784707216838
good = 11.443485795643927, bad = 8.971192870482145
good = 11.533959225595622, bad = 9.095199574613073
good = 11.609199467908324, bad = 9.180781467825845
good = 11.693762831027183, bad = 9.221597794356457
good = 11.77956683378771, bad = 9.282822284152376
good = 11.866152394981968, bad = 9.214016237590856
good = 11.958686939878833, bad = 9.25706668758452
good = 12.030543387815422, bad = 9.277474850849824
good = 12.120502932020194, bad = 9.297883014115131
good = 12.195617200539653, bad = 9.35992272565751
good = 12.282000275393482, bad = 9.405004486497777
good = 12.354638667105021, bad = 9.333548156519415
good = 12.434164311884292, bad = 9.224326345837268
good = 12.514525540187462, bad = 9.297149609530097
good = 12.585383476875572, bad = 9.262734984939
good = 12.661750273218768, bad = 9.008033552101251
good = 12.738922802153734, bad = 8.996660474869191
good = 12.812312738483207, bad = 8.898637295708726
good = 12.903545109844229, bad = 8.735948208533664
good = 12.985251666089916, bad = 8.52107142530492
good = 13.064740669623975, bad = 8.52107142530492
good = 13.144239941057549, bad = 8.574331890897124
good = 13.208585388007515, bad = 8.584258669508593
good = 13.258000316073192, bad = 8.667548566507023
good = 13.337538388306916, bad = 8.687956729772328
good = 13.39556938610628, bad = 8.667777945463696
good = 13.458995198149042, bad = 8.775004905111063
good = 13.51877274109602, bad = 8.815821231641676
good = 13.593260794119299, bad = 8.815821231641676
good = 13.690249328824333, bad = 8.61170665098277
good = 13.762239578657857, bad = 8.61170665098277
good = 13.83541080747925, bad = 8.61170665098277
good = 13.886958633566207, bad = 8.67846796420371
good = 13.960786788650417, bad = 8.70145647140339
good = 14.024876451908295, bad = 8.793846719428066
good = 14.102539785572827, bad = 8.852914508380344
good = 14.17628489755754, bad = 8.927655709208501
good = 14.254886599860642, bad = 8.774009733537405
good = 14.321139286624163, bad = 9.037019832333916
good = 14.404317742826516, bad = 8.956652484643008
good = 14.489835187807728, bad = 8.99746881117362
good = 14.576219454587502, bad = 8.99746881117362
good = 14.639180876011732, bad = 9.081246460376995
good = 14.707791067421434, bad = 9.122062786907609
good = 14.784435410584841, bad = 9.173453034142618
good = 14.849150669026494, bad = 9.255085687203843
good = 14.934376600729603, bad = 9.292081224974243
good = 15.004506455313612, bad = 9.275882528531653
good = 15.067822850871664, bad = 9.350693701889037
good = 15.141052560951197, bad = 9.371101865154344
good = 15.199996254925315, bad = 9.245258821745049
good = 15.269699996201012, bad = 9.368401358438348
good = 15.336579571869501, bad = 9.465525389021849
good = 15.397635924946304, bad = 9.492363202028349
good = 15.478077053078978, bad = 9.44413395981887
good = 15.533465809715286, bad = 9.434630300049733
good = 15.595637086805054, bad = 9.443422148986885
good = 15.658728692846685, bad = 9.443422148986885
good = 15.730314477809312, bad = 9.484238475517499
good = 15.807756937561042, bad = 9.445054754891432
good = 15.875922659547609, bad = 9.524815707546326
good = 15.961912304813332, bad = 9.474663971870694
good = 16.021303676961267, bad = 9.538926475380567
good = 16.098280232946948, bad = 9.45569773421446
good = 16.16932498646423, bad = 9.558390522995257
good = 16.225052495311, bad = 9.64410057374808
good = 16.299317997213183, bad = 9.706001110360239
good = 16.376658565073086, bad = 9.797255177204368
good = 16.454953127423313, bad = 9.58813213548166
good = 16.536731896158603, bad = 9.59996537720663
good = 16.60735872842269, bad = 9.576409636871864
good = 16.677051951142566, bad = 9.561327487028912
good = 16.750659910360646, bad = 9.659632528006105
good = 16.827120008044556, bad = 9.624600860018285
good = 16.905484286867246, bad = 9.516498773330461
good = 16.968070428879773, bad = 9.654243491939459
good = 17.03691036829923, bad = 9.654243491939459
good = 17.109687122489344, bad = 9.551518391585574
good = 17.1817020549082, bad = 9.62309165172723
good = 17.267287056058418, bad = 9.659055229705004
good = 17.342524284457443, bad = 9.649231279902194
good = 17.40456218254889, bad = 9.138846854247198
good = 17.474118452033192, bad = 9.120869159578398
good = 17.553269484777744, bad = 9.161685486109011
good = 17.64085619845922, bad = 9.192585638545623
good = 17.729268604343353, bad = 9.002456692628103
good = 17.813562255825037, bad = 8.942597198940845
good = 17.89524087226449, bad = 8.745461001566223
good = 17.970348997148555, bad = 8.810327693584645
good = 18.04140903192074, bad = 8.857845337723345
good = 18.122713292832277, bad = 8.799469762800383
good = 18.18492194370589, bad = 8.783536967499455
good = 18.23692581208657, bad = 8.88358130640023
good = 18.295733475090884, bad = 8.945661936843535
good = 18.364386077703763, bad = 8.856620872556453
good = 18.42520006052713, bad = 8.917679112548456
good = 18.503939377477725, bad = 8.917679112548456
good = 18.583309057716974, bad = 8.859823250353688
good = 18.66140138481431, bad = 8.799024594181285
good = 18.740767535505576, bad = 8.65455591486421
good = 18.807090623277283, bad = 8.623545360722032
good = 18.881196903470528, bad = 8.648056229541115
good = 18.939683012227196, bad = 8.619816985852452
good = 19.000465731572177, bad = 8.677560895742232
good = 19.065539996271166, bad = 8.77868583278885
good = 19.144423735168694, bad = 8.660762612968902
good = 19.21957645750093, bad = 8.68117077623421
good = 19.28208727324308, bad = 8.74178425771992
good = 19.35865410094034, bad = 8.69356922351962
good = 19.418292785684454, bad = 8.811260101112895
good = 19.48778861333836, bad = 8.88127413673625
good = 19.558776267659354, bad = 8.910290373740548
good = 19.623919589907242, bad = 8.845050842581184
good = 19.69963587904647, bad = 8.841445340862046
good = 19.779852799527674, bad = 8.847450290207584
good = 19.84554242556277, bad = 8.83097487818073
good = 19.923959143573114, bad = 8.7735264460106
good = 19.990494618353512, bad = 8.765594323651573
good = 20.055261123989588, bad = 8.862454637056235
good = 20.118695846368343, bad = 8.904690661900954
good = 20.195435838318964, bad = 8.690439432416705
good = 20.271542004437283, bad = 8.68002441591753
good = 20.34096855452625, bad = 8.623718639511655
good = 20.420518294023836, bad = 8.565855367108341
good = 20.504367598356, bad = 8.329042422025886
good = 20.5755542474557, bad = 8.283908119457964
good = 20.64024345840578, bad = 8.327169481973986
good = 20.706082766887626, bad = 8.379672518341168
good = 20.769847445777174, bad = 8.540139596194333
good = 20.845764488476828, bad = 8.580955922724947
good = 20.917671908096576, bad = 8.549896768934314
good = 20.977624575470326, bad = 8.616370284996119
good = 21.051602358521833, bad = 8.536480183502077
good = 21.1279279867533, bad = 8.506133755509916
good = 21.213910916166544, bad = 8.426350632060892
good = 21.282674577625855, bad = 8.221286089884657
good = 21.362039810967556, bad = 8.124127408923588
good = 21.436643931866715, bad = 8.215752125073166
good = 21.51101249413312, bad = 8.215752125073166
good = 21.575352669295025, bad = 8.25935926914912
good = 21.669306318754767, bad = 8.150479999921147
