good = 5.235862420862421, bad = 5.291012719584148
good = 5.372654966197166, bad = 5.33182904611476
good = 5.555044660239035, bad = 5.426213632247349
good = 5.664905867201689, bad = 5.426213632247349
good = 5.7926094344656756, bad = 5.467029958777962
good = 5.96479790300197, bad = 5.507846285308574
good = 6.061339461282658, bad = 5.52825444857388
good = 6.220321279464476, bad = 5.5690707751044926
good = 6.311625627290561, bad = 5.620239068508811
good = 6.4419145285745, bad = 5.734186740092831
good = 6.517610983628232, bad = 5.939608892750815
good = 6.642441901502626, bad = 6.111648723175737
good = 6.772558165549925, bad = 6.213689539502267
good = 6.878719088465706, bad = 6.234097702767573
good = 6.9844033741210065, bad = 6.274914029298186
good = 7.116465715965956, bad = 6.386163870849714
good = 7.235116545939441, bad = 6.462161762651089
good = 7.343023148193872, bad = 6.496707754961057
good = 7.433408352291742, bad = 6.630155438406811
good = 7.541741631087083, bad = 6.745227554209653
good = 7.643959783305236, bad = 6.745227554209653
good = 7.729430682776136, bad = 6.910922403577971
good = 7.841865425026287, bad = 6.910922403577971
good = 7.934943949964724, bad = 7.004651632955221
good = 8.021938658959435, bad = 7.065876122751138
good = 8.099128798932185, bad = 7.147508775812363
good = 8.246503300118368, bad = 7.229141428873588
good = 8.342990632644286, bad = 7.301498475259056
good = 8.463380173323682, bad = 7.3423148017896676
good = 8.563454707485171, bad = 7.3423148017896676
good = 8.656782104788697, bad = 7.3423148017896676
good = 8.730995047585491, bad = 7.367038141153647
good = 8.83688416651809, bad = 7.387446304418953
good = 8.942287881429051, bad = 7.428262630949565
good = 9.014179300798729, bad = 7.528425304714722
good = 9.110844035098246, bad = 7.548833467980028
good = 9.202486141676586, bad = 7.569241631245335
good = 9.352416597693997, bad = 6.896703092946336
good = 9.455465952172275, bad = 6.896703092946336
good = 9.634064525901282, bad = 6.978335746007561
good = 9.736577288607194, bad = 7.047780647469604
good = 9.845778913921354, bad = 7.218083381126916
good = 9.966597416920177, bad = 7.45987166242951
good = 10.049169699625182, bad = 7.549457569602865
good = 10.139828032906705, bad = 7.569865732868171
good = 10.258538272558122, bad = 7.590273896133477
good = 10.361253385035555, bad = 7.631090222664089
good = 10.468780599206248, bad = 7.999135179777367
good = 10.569497917314875, bad = 8.05055058877929
good = 10.680420141628403, bad = 8.098305613996606
good = 10.799682719093882, bad = 8.18108146478488
good = 10.89849267998645, bad = 8.262714117846103
good = 10.989930638393352, bad = 8.054989047613399
good = 11.061009543385303, bad = 7.903564925097747
good = 11.177571034588404, bad = 7.903564925097747
good = 11.288610849498639, bad = 7.556206406001514
good = 11.375139209044846, bad = 7.617430895797432
good = 11.48607912827121, bad = 7.49011452227646
good = 11.588733381997928, bad = 7.411762860342908
good = 11.684049447332843, bad = 7.472987350138827
good = 11.766849232625379, bad = 7.556927012960477
good = 11.861641983719421, bad = 7.664608594910027
good = 11.956027266979882, bad = 7.685016758175333
good = 12.029428693250878, bad = 7.705424921440639
good = 12.121268192568637, bad = 6.705043188281199
good = 12.213091212275714, bad = 6.725451351546505
good = 12.318832572458824, bad = 6.493228520522347
good = 12.410802481850041, bad = 6.513636683787653
good = 12.514017625893553, bad = 6.574861173583572
good = 12.598558805444362, bad = 6.63608566337949
good = 12.684368630812074, bad = 6.549883411038109
good = 12.782964173755445, bad = 6.549552109896679
good = 12.867608332650343, bad = 6.491642900056074
good = 12.934271767660126, bad = 6.49772967106106
good = 13.012995066905171, bad = 6.538545997591671
good = 13.084546600646423, bad = 6.505235804193726
good = 13.179990318011269, bad = 6.140658145196923
good = 13.252531343023277, bad = 5.770197645032136
good = 13.329403472599012, bad = 5.831422134828054
good = 13.395106099034987, bad = 5.123711043222159
good = 13.45962820580836, bad = 5.214598885077548
good = 13.529596205004786, bad = 5.235007048342854
good = 13.505799948973436, bad = 5.230673706382488
good = 13.566264118716035, bad = 5.315669692354518
good = 13.642307992579449, bad = 5.313695775180422
good = 13.711100608766937, bad = 5.2950274284568835
good = 13.783157982162342, bad = 4.660219402673099
good = 13.856820409211153, bad = 4.680627565938405
good = 13.932190660116563, bad = 4.721443892469018
good = 14.01322454032025, bad = 4.804555397940771
good = 14.076781016050639, bad = 4.836758667416595
good = 14.13766475196046, bad = 4.836758667416595
good = 14.212643357895589, bad = 4.827799847264496
good = 14.27990871272287, bad = 4.827799847264496
good = 14.329284033923612, bad = 4.897670682250364
good = 14.408646525698586, bad = 4.829190213879554
good = 14.469245072734902, bad = 4.903145950417048
good = 14.549587471912474, bad = 4.913731572079576
good = 14.636626481004837, bad = 4.7249296015170295
good = 14.716354769165456, bad = 4.7249296015170295
good = 14.79619885246344, bad = 4.770478255761335
good = 14.85426551880658, bad = 4.791533214901945
good = 14.918108291932517, bad = 4.828883368844823
good = 15.0019029793144, bad = 4.7568194109724615
good = 15.063621074302413, bad = 4.7568194109724615
good = 15.125734132353077, bad = 4.7568194109724615
good = 15.198495583361685, bad = 4.718882696057118
good = 15.278214327528834, bad = 4.799071853179238
good = 15.346967462745736, bad = 4.946099359834072
good = 15.410725698611474, bad = 4.777492670913092
good = 15.476000226549726, bad = 4.8654747864018635
good = 15.521093670620504, bad = 4.946212829784095
good = 15.587553484338747, bad = 5.041226547415074
good = 15.648963051164476, bad = 5.067605252482646
good = 15.718362415602918, bad = 5.1288297422785645
good = 15.771529179817893, bad = 5.224127189452868
good = 15.833949594091273, bad = -5.482965654633017
good = 15.919633945160749, bad = -5.475710375666698
good = 15.989856219261323, bad = -5.450579714771054
good = 16.071766030265326, bad = -5.450579714771054
good = 16.134444534634632, bad = -5.389355224975136
good = 16.21869476287496, bad = -5.348538898444524
good = 16.32046046123545, bad = -5.55273859064559
good = 16.38644826042892, bad = -5.650688757312901
good = 16.447549679750153, bad = -5.650688757312901
good = 16.52977358895957, bad = -5.650688757312901
good = 16.599334448327653, bad = -5.650688757312901
good = 16.67982632715244, bad = -5.729678307522419
good = 16.749527892375283, bad = -7.193894646303417
good = 16.811871343836067, bad = -7.1360032202791555
good = 16.899086132598146, bad = -7.1360032202791555
good = 16.974843096249447, bad = -7.1155950570138495
good = 17.056546764384837, bad = -7.132758714268938
good = 17.146929829864174, bad = -7.503924525743735
good = 17.210981283660523, bad = -7.395671989893925
good = 17.284342159016642, bad = -7.530210447809772
good = 17.339367294046045, bad = -7.481357969321089
good = 17.4076820401518, bad = -7.440541642790477
good = 17.480487653218287, bad = -7.374764400216429
good = 17.53130770468255, bad = -7.297587696424067
good = 17.61765624927197, bad = -7.885335227595345
good = 17.691879344073776, bad = -7.895582732069886
good = 17.763961030503292, bad = -7.854766405539273
good = 17.84284345996997, bad = -8.050133366477706
good = 17.907712839706445, bad = -8.026056039599013
good = 18.007169049118144, bad = -9.437324199483339
good = 18.084475987649558, bad = -9.416916036218032
good = 18.178604547561974, bad = -9.534987349952052
good = 18.24834991214852, bad = -9.586407728674113
good = 18.310871272125077, bad = -9.586407728674113
good = 18.39907243366949, bad = -9.600114010352545
good = 18.48217607677893, bad = -17.03217697303487
good = 18.546349754907716, bad = -17.03217697303487
good = 18.61280078795763, bad = -17.01460826436728
good = 18.687591580171183, bad = -17.15410049902673
good = 18.763844486750926, bad = -17.212918874932647
good = 18.828339540811196, bad = -17.15169438513673
good = 18.895142449121348, bad = -17.123756982597367
good = 18.971656518838735, bad = -17.256174362755274
good = 19.034313009499197, bad = -17.26266613003987
good = 19.112799321898553, bad = -17.201441640243953
good = 19.233191789124238, bad = -17.721236077493995
good = 19.305122333074173, bad = -19.518324238011516
good = 19.374554870784138, bad = -19.517694917684203
good = 19.433670239751297, bad = -19.42722100236556
good = 19.51518375022172, bad = -19.406812839100255
good = 19.592246223765464, bad = -19.490305115674598
good = 19.67457472618093, bad = -19.42908062587868
good = 19.744214307333223, bad = -19.35829804407125
good = 19.836155121184998, bad = -19.38637125458251
good = 19.910056697332955, bad = -19.36951467631091
good = 19.963898416125954, bad = -19.63807902781652
good = 20.043597026596327, bad = -19.676831619453466
good = 20.116977398753942, bad = -19.579519632490637
good = 20.1833038518788, bad = -19.655134065749497
good = 20.252636438018012, bad = -19.70280002608259
good = 20.31169555473796, bad = -19.638860593731444
good = 20.379097441096366, bad = -19.518152434691437
good = 20.4697907591208, bad = -19.643055951530126
good = 20.57395699167738, bad = -20.29247009926718
good = 20.641657895818124, bad = -21.076389070001476
good = 20.71570453210262, bad = -20.994756416940252
good = 20.77688336576413, bad = -20.98816801968446
good = 20.848347293503206, bad = -21.94199979819779
good = 20.945426735144704, bad = -22.091873905402934
good = 21.01466559719517, bad = -22.026595917879547
good = 21.0792215651981, bad = -22.026595917879547
good = 21.163855712197613, bad = -22.226900098233617
good = 21.23718066596918, bad = -25.40528472824452
good = 21.315690901065306, bad = -25.41325939605936
good = 21.379136630260486, bad = -25.431450155848157
good = 21.44938851448212, bad = -25.494582556641614
good = 21.539856834185837, bad = -25.410311016291992
good = 21.61683021739988, bad = -25.400449528699003
good = 21.682588934453303, bad = -25.400449528699003
good = 21.752962450436613, bad = -26.18955594163952
good = 21.833672227255285, bad = -26.268532695745623
good = 21.9003457334668, bad = -26.29717145684207
good = 21.971545942057897, bad = -26.269584463734766
good = 22.04736114604255, bad = -26.497647612627027
