good = 5.267108887543671, bad = 5.077587843781277
good = 5.42270364004891, bad = 5.276514237081074
good = 5.577889285321511, bad = 5.386600010520884
good = 5.672040347356629, bad = 5.449224480598771
good = 5.775913818028702, bad = 5.477491746382788
good = 5.954837046169321, bad = 5.5183080729134
good = 6.04840697060881, bad = 5.559124399444012
good = 6.20575552865302, bad = 5.640757052505236
good = 6.302180649425968, bad = 5.761727179686543
good = 6.411729582033667, bad = 5.782135342951849
good = 6.505038774416582, bad = 5.901839719436444
good = 6.6078305364303125, bad = 5.963064209232361
good = 6.727613270078114, bad = 6.003880535762974
good = 6.810184179827563, bad = 6.150336728918179
good = 6.888059177615604, bad = 6.2902857870571225
good = 6.983000976557403, bad = 6.322744484821942
good = 7.0801149692686485, bad = 6.431030728381151
good = 7.161480508721145, bad = 6.548214993391503
good = 7.280538635219726, bad = 6.58558635369022
good = 7.400581863754001, bad = 6.646810843486139
good = 7.504719935482134, bad = 6.733588277823466
good = 7.600518417193659, bad = 6.794812767619384
good = 7.689014552862947, bad = 6.878910322954039
good = 7.783080555607504, bad = 6.899318486219345
good = 7.87469481831742, bad = 6.9605429760152635
good = 7.943081826087209, bad = 7.026914318309148
good = 8.104830646846125, bad = 7.047322481574454
good = 8.19100073246845, bad = 7.142338239340438
good = 8.325740399671885, bad = 7.18315456587105
good = 8.410476874147488, bad = 7.2940738743058855
good = 8.531639059709907, bad = 7.400870704403295
good = 8.605957780786392, bad = 7.465930552654929
good = 8.703367488630885, bad = 7.465930552654929
good = 8.803243135260153, bad = 7.486338715920235
good = 8.893040466753138, bad = 7.527155042450848
good = 8.978407110415432, bad = 7.582454545274752
good = 9.073380651849844, bad = 7.613521241567714
good = 9.201507730353732, bad = 7.753461199076438
good = 9.297254242392873, bad = 7.855502015402968
good = 9.506320725024569, bad = 7.944554282272447
good = 9.582627210827495, bad = 8.167989765289668
good = 9.667360923251483, bad = 8.167989765289668
good = 9.79223624550529, bad = 8.229214255085584
good = 9.864875066977067, bad = 8.270030581616195
good = 9.957921539951071, bad = 8.310846908146809
good = 10.053396029908086, bad = 8.351663234677421
good = 10.12726289734017, bad = 8.471593427722077
good = 10.223037454506029, bad = 8.545595202344971
good = 10.313737414771207, bad = 8.566003365610278
good = 10.398710011685834, bad = 8.724429303273126
good = 10.532327637216504, bad = 8.724429303273126
good = 10.63385774993792, bad = 8.744837466538431
good = 10.730081448024976, bad = 8.774999196471995
good = 10.800167818980912, bad = 8.863232908929312
good = 10.932858324414234, bad = 8.863232908929312
good = 11.059489181290612, bad = 8.904049235459924
good = 11.147711137146434, bad = 9.050726665503534
good = 11.250402466466923, bad = 9.143961429764971
good = 11.392408554617937, bad = 9.143961429764971
good = 11.470613406432717, bad = 9.19879244824157
good = 11.586340727957142, bad = 9.19879244824157
good = 11.677628896042412, bad = 9.219200611506876
good = 11.752176168421794, bad = 9.3008332645681
good = 11.839731954021058, bad = 9.321241427833407
good = 11.912246440796412, bad = 9.284108914243099
good = 12.006944853494822, bad = 9.32492524077371
good = 12.081907432214543, bad = 9.367347161403263
good = 12.160806842987515, bad = 9.458671693366657
good = 12.240464089086847, bad = 9.537546750128373
good = 12.323280502231038, bad = 9.72616766576099
good = 12.415614045310104, bad = 9.72616766576099
good = 12.488831222657716, bad = 9.715989846508341
good = 12.565694871468077, bad = 9.815990776202923
good = 12.634413439524556, bad = 9.867855455849355
good = 12.703636323494834, bad = 10.046167826248816
good = 12.765631639450026, bad = 10.134191365558424
good = 12.831057044929675, bad = 9.828276697750297
good = 12.899071178235667, bad = 9.851300357536916
good = 12.969593755223002, bad = 9.912524847332834
good = 13.035425540724637, bad = 9.880713723319964
good = 13.118958018104315, bad = 9.929946600365515
good = 13.183567522338835, bad = 9.90814627223951
good = 13.172136642114719, bad = 10.096577237075696
good = 13.249651249890194, bad = 10.0852238019515
good = 13.336619874547596, bad = 9.948534283051119
good = 13.398580629290864, bad = 9.948534283051119
good = 13.452323088644468, bad = 10.010592461952557
good = 13.52879217382055, bad = 10.055716697364867
good = 13.6038193518816, bad = 10.160657600886072
good = 13.666299223057123, bad = 10.242438139188348
good = 13.720906746867355, bad = 10.242438139188348
good = 13.773799500490545, bad = 10.350914921205502
good = 13.85144321937876, bad = 10.350914921205502
good = 13.923794615503176, bad = 10.376638502563512
good = 13.966488048075052, bad = 10.485642601097336
good = 14.035156137553093, bad = 10.506050764362643
good = 14.117043898060976, bad = 10.540477212249257
good = 14.17341352950307, bad = 10.621980438137319
good = 14.25746645332297, bad = 10.688531613472877
good = 14.331428879517276, bad = 10.759832017692535
good = 14.406662536090513, bad = 10.784364811630537
good = 14.473233135522259, bad = 10.833462026274528
good = 14.54872935328496, bad = 10.846010564495796
good = 14.61227263984274, bad = 10.766599196161525
good = 14.664350536266278, bad = 10.879482113303538
good = 14.719498495914024, bad = 10.949310067071155
good = 14.776970180670874, bad = 11.026531650054162
good = 14.853364202491791, bad = 11.046939813319469
good = 14.933064570095564, bad = 10.75700094614076
good = 14.99099255547792, bad = 10.781117379840158
good = 15.06513284510342, bad = 10.861958750832372
good = 15.129633578515818, bad = 10.816495167376322
good = 15.202964007950074, bad = 10.877522476850837
good = 15.27144455996555, bad = 10.803555771966414
good = 15.366446284856295, bad = 10.610161688277973
good = 15.429694040391388, bad = 10.643722874105999
good = 15.494741102829753, bad = 10.643722874105999
good = 15.567803031376995, bad = 10.68453920063661
good = 15.633025678931542, bad = 10.674792210458522
good = 15.710881777436889, bad = 10.773839406976881
good = 15.781236566789712, bad = 10.814655733507493
good = 15.856325687146626, bad = 10.806696516546767
good = 15.928174038217918, bad = 10.821166656589897
good = 16.00376130765438, bad = 10.795156804127124
good = 16.063997370156127, bad = 10.815564967392431
good = 16.133325949252825, bad = 10.86498962338319
good = 16.21716339676009, bad = 10.744359774997026
good = 16.2914334473381, bad = 10.535256673469236
good = 16.354690603882865, bad = 10.57607299999985
good = 16.43114793437679, bad = 10.538813725145337
good = 16.510492615940958, bad = 10.586522451577753
good = 16.593676682543244, bad = 10.565643820347136
good = 16.658601274215663, bad = 10.608008294086941
good = 16.73718406259081, bad = 10.648824620617553
good = 16.80608239900727, bad = 10.654254578520046
good = 16.880087021867524, bad = 10.206836841759491
good = 16.9436234200162, bad = 10.105897630400017
good = 17.028076241628074, bad = 10.126305793665324
good = 17.10152160624735, bad = 10.239171809636929
good = 17.16487613957977, bad = 10.29037248830235
good = 17.243482287506456, bad = 10.329471524023793
good = 17.319661086995605, bad = 10.295162499177316
good = 17.397991532969293, bad = 10.295162499177316
good = 17.45107927839706, bad = 10.457158028049506
good = 17.52847631854561, bad = 10.42968335937126
good = 17.598309303156164, bad = 10.450091522636566
good = 17.672256551930392, bad = 9.959386390986639
good = 17.745472872833446, bad = 10.024075620715799
good = 17.826168699337522, bad = 10.008959802242185
good = 17.8905156314555, bad = 10.019777744054194
good = 17.957599462089203, bad = 10.007872868569338
good = 18.025743626030472, bad = 10.028281031834643
good = 18.08993618858587, bad = 10.04868919509995
good = 18.15409778534804, bad = 9.987004090465119
good = 18.224460391160253, bad = 10.096033651013817
good = 18.299827618060316, bad = 10.116441814279124
good = 18.363658993400588, bad = 10.165917744073532
good = 18.434755438632713, bad = 10.132076021436065
good = 18.505984616799616, bad = 10.120797546369728
good = 18.58825391938269, bad = 10.16161387290034
good = 18.661555046596856, bad = 10.278268892458456
good = 18.72691264780713, bad = 10.29277536776726
good = 18.78148431421107, bad = 10.407080361852238
good = 18.843905912062915, bad = 10.513601935658388
good = 18.90467001108788, bad = 10.394960265277218
good = 18.98399175858354, bad = 10.393115801668701
good = 19.0535398559996, bad = 10.393115801668701
good = 19.122394921497555, bad = 10.362773914163151
good = 19.19545686181167, bad = 10.35279199303717
good = 19.261877650244273, bad = 10.47145282752484
good = 19.33665123146713, bad = 10.425488724885787
good = 19.394567832618304, bad = 10.445896888151093
good = 19.470373999734427, bad = 10.414769686509093
good = 19.53976181321748, bad = 10.439568759719071
good = 19.58182256519919, bad = 10.59509635691908
good = 19.6632890233257, bad = 10.635912683449693
good = 19.729099951922965, bad = 10.720201124969721
good = 19.787461120545, bad = 10.849165505753088
good = 19.858937018616214, bad = 10.849165505753088
good = 19.933093150722577, bad = 10.80792200637855
good = 20.01474649576722, bad = 10.893147822660268
good = 20.087745260243754, bad = 10.898342489705222
good = 20.148097340343387, bad = 11.04180922704951
good = 20.21653076552211, bad = 10.785185192055474
good = 20.28253234097296, bad = 10.831490387424516
good = 20.35364345208408, bad = 10.92718199740184
good = 20.41376769101118, bad = 11.03526062200617
good = 20.505639731886273, bad = 11.004767403774332
good = 20.584865015459382, bad = 11.006662915838902
good = 20.647876505170938, bad = 11.06788740563482
good = 20.719449603628068, bad = 10.972077227315419
good = 20.797674587984847, bad = 11.033301717111337
good = 20.86423074673759, bad = 10.99053060664153
good = 20.92111941446792, bad = 11.031346933172143
good = 20.997450432425737, bad = 10.852642581722957
good = 21.069128144196483, bad = 10.860733907147159
good = 21.14877853303109, bad = 10.906262376805639
good = 21.201404571011537, bad = 10.978384387658359
good = 21.27485499774573, bad = 10.968617488584405
good = 21.354011691085063, bad = 10.840472495145285
