good = 5.263061223278614, bad = 5.040816326530612
good = 5.413316434393161, bad = 5.081632653061225
good = 5.63425685307271, bad = 5.081632653061225
good = 5.73635086426817, bad = 5.081632653061225
good = 5.815276213233898, bad = 5.283308510953463
good = 6.0017073151432605, bad = 5.39418326175723
good = 6.131507059145902, bad = 5.414591425022536
good = 6.27048870165798, bad = 5.434999588287842
good = 6.386978234669252, bad = 5.49267483229849
good = 6.503589403028684, bad = 5.5130829955637966
good = 6.617741901094225, bad = 5.572630812431932
good = 6.724824422211835, bad = 5.5930389756972385
good = 6.863479680207421, bad = 5.63385530222785
good = 6.980151251210167, bad = 5.674671628758463
good = 7.075147776960317, bad = 5.767346054795799
good = 7.163613385425924, bad = 5.875995228751094
good = 7.263857812919778, bad = 5.9582318762705135
good = 7.3949238354640645, bad = 5.97864003953582
good = 7.4964924407718, bad = 6.182117839464375
good = 7.609794739117578, bad = 6.243342329260293
good = 7.72464654799423, bad = 6.340252897459997
good = 7.819426396165381, bad = 6.408706862897104
good = 7.917110606691697, bad = 6.53942481423804
good = 8.005596697144355, bad = 6.613572972720722
good = 8.097237276854498, bad = 6.654389299251334
good = 8.177657607999468, bad = 6.736021952312559
good = 8.352450451147407, bad = 6.7564301155778645
good = 8.439940346680016, bad = 6.829763022055012
good = 8.551967338475125, bad = 6.850171185320319
good = 8.642384386805217, bad = 6.940785273982322
good = 8.742624772746861, bad = 7.002009763778241
good = 8.826804565349015, bad = 7.0428260903088535
good = 8.934954553846831, bad = 7.124458743370077
good = 9.03053910670675, bad = 7.144866906635384
good = 9.10596238713003, bad = 7.217218704497387
good = 9.18445673572293, bad = 7.278443194293304
good = 9.276793743320805, bad = 7.298851357558611
good = 9.419217177106558, bad = 7.343985716446297
good = 9.493503520278809, bad = 7.375178596766025
good = 9.683941063412007, bad = 7.415994923296637
good = 9.764991047744001, bad = 7.5129389285958545
good = 9.839770255486139, bad = 7.582561590643793
good = 9.936592165333218, bad = 7.248535749222678
good = 10.043046348661544, bad = 7.396389431989731
good = 10.134264937851146, bad = 7.5432820338069115
good = 10.220253724348035, bad = 7.594586696458721
good = 10.312362890544163, bad = 7.636281474125105
good = 10.399757415503903, bad = 7.684669524997628
good = 10.480408927169906, bad = 7.7697553944668165
good = 10.566844908794293, bad = 7.823298046234845
good = 10.691744435461937, bad = 7.823298046234845
good = 10.782274180113422, bad = 7.904016557241731
good = 10.891270102065866, bad = 7.965241047037649
good = 10.963637251824322, bad = 7.911651784863473
good = 11.076719329339955, bad = 7.987089048936382
good = 11.203501582040369, bad = 8.027905375466995
good = 11.29301448507089, bad = 8.089129865262914
good = 11.41287956382088, bad = 8.109538028528219
good = 11.514038501791413, bad = 8.170762518324137
good = 11.582419069179164, bad = 8.255317866639151
good = 11.68092470525002, bad = 8.255317866639151
good = 11.774876396071276, bad = 8.285819549714036
good = 11.841373608177665, bad = 8.383152413087947
good = 11.917086053542281, bad = 8.444376902883866
good = 11.99147370445167, bad = 8.550956561903632
good = 12.076132357929163, bad = 8.595187276963983
good = 12.144668684114565, bad = 8.682296456264822
good = 12.228395959148292, bad = 8.777650110979613
good = 12.305613674062887, bad = 8.803549789578435
good = 12.402415157311319, bad = 8.803549789578435
good = 12.483347193337561, bad = 8.844366116109047
good = 12.559643217495905, bad = 8.872173281338572
good = 12.651069627589326, bad = 8.912989607869184
good = 12.717597843227406, bad = 8.800775091678574
good = 12.791562806873529, bad = 8.87950563571951
good = 12.86708894690531, bad = 8.50219800312359
good = 12.932426218063245, bad = 8.488100362882905
good = 12.999721204857936, bad = 8.18720310859047
good = 13.074075054227585, bad = 8.05838018790252
good = 13.13985102918498, bad = 8.013688202229119
good = 13.207089104992253, bad = 8.074912692025038
good = 13.289970168384334, bad = 8.051271490584165
good = 13.318127674064106, bad = 8.106003702993991
good = 13.39307208628003, bad = 8.147462274000034
good = 13.45311112602735, bad = 8.147462274000034
good = 13.52645634131475, bad = 8.229167336773921
good = 13.591603529748692, bad = 8.051241083918663
good = 13.657556981142434, bad = 8.205129757168912
good = 13.740931495053184, bad = 7.89856860575643
good = 13.816977730741506, bad = 7.939384932287043
good = 13.91711678978241, bad = 7.840335566363145
good = 13.987688360562675, bad = 7.819798799428269
good = 14.05835250077003, bad = 7.819798799428269
good = 14.126146017526317, bad = 7.840206962693575
good = 14.171706807774084, bad = 7.922110034481295
good = 14.238900413111287, bad = 7.857018085113817
good = 14.300495213967107, bad = 7.826791620647941
good = 14.371034812854534, bad = 7.975360846945649
good = 14.442070812374192, bad = 7.942672915858092
good = 14.498589591941036, bad = 8.088556337225652
good = 14.583801110087265, bad = 8.054664257262575
good = 14.647662433337938, bad = 8.133633304905418
good = 14.714743868896043, bad = 8.214832266459306
good = 14.796466556397695, bad = 8.214832266459306
good = 14.862440381578148, bad = 8.250341625482418
good = 14.924590704957312, bad = 8.312408956549831
good = 14.999666998498965, bad = 8.281311435630787
good = 15.080637698334233, bad = 8.301719598896092
good = 15.154862750791173, bad = 8.264784720273008
good = 15.217276282045013, bad = 8.076250424719694
good = 15.282821149699556, bad = 8.121729537544493
good = 15.343547986490153, bad = 8.124742356787921
good = 15.40733704615365, bad = 8.172253399584514
good = 15.481708483040268, bad = 8.123803246592075
good = 15.555084243514672, bad = 8.144211409857382
good = 15.615309351545461, bad = 8.164619573122689
good = 15.681002852891137, bad = 8.166821447872119
good = 15.762437567526915, bad = 8.053712141712296
good = 15.839140681101094, bad = 7.979409257326191
good = 15.895154713767301, bad = 8.134092994174969
good = 15.969521624682859, bad = 8.138681088230895
good = 16.024075979828513, bad = 8.154896620923283
good = 16.105312535911647, bad = 8.087978331470234
good = 16.18086230022415, bad = 8.167303974771034
good = 16.241306447890125, bad = 8.167303974771034
good = 16.323906330311935, bad = 8.155619128836301
good = 16.395925593936074, bad = 8.168044907627827
good = 16.47350473574645, bad = 8.186595904447667
good = 16.550891085295795, bad = 8.207004067712974
good = 16.61299136481146, bad = 8.33206145759824
good = 16.689639077732284, bad = 8.315402247260183
good = 16.754742186153866, bad = 8.397034900321406
good = 16.822629161095062, bad = 8.4771887009721
good = 16.90147652241046, bad = 8.297144346361293
good = 16.97009915106765, bad = 8.39912906518605
good = 17.053943140298035, bad = 8.330002923106475
good = 17.1171535796227, bad = 8.388996704637966
good = 17.19463984670377, bad = 8.340540713351558
good = 17.28639876089747, bad = 8.278113681787952
