good = 5.200857526074918, bad = 5.0790659435291206
good = 5.353351052062049, bad = 5.0994741067944265
good = 5.520984822478428, bad = 5.140290433325038
good = 5.646163259714835, bad = 5.238494683969395
good = 5.750113008649891, bad = 5.312613931439926
good = 5.959807385126876, bad = 5.312613931439926
good = 6.0818398802753135, bad = 5.3738384212358445
good = 6.224829408406872, bad = 5.414654747766456
good = 6.32408866766613, bad = 5.543906448446728
good = 6.439266601747578, bad = 5.584722774977341
good = 6.534225771262512, bad = 5.645947264773259
good = 6.6381961077317015, bad = 5.666355428038565
good = 6.773450844155856, bad = 5.686763591303872
good = 6.894974203381342, bad = 5.686763591303872
good = 6.996514322892476, bad = 5.821125026463887
good = 7.106085061332778, bad = 5.841533189729193
good = 7.198132522982072, bad = 5.970632335108169
good = 7.32753026855373, bad = 6.011448661638781
good = 7.444353885040864, bad = 6.132821778189554
good = 7.567778423118428, bad = 6.296087084312004
good = 7.681473526726575, bad = 6.296087084312004
good = 7.784051856609253, bad = 6.348104661529225
good = 7.906903074831945, bad = 6.388920988059837
good = 8.028953541282474, bad = 6.454049972035493
good = 8.117111075213923, bad = 4.896458545051704
good = 8.238930331641875, bad = 4.896458545051704
good = 8.380066479057874, bad = 4.987142906406576
good = 8.496010485263467, bad = 5.115026272818489
good = 8.675216067657455, bad = 5.155842599349102
good = 8.763450043021866, bad = 5.176250762614408
good = 8.870758040210061, bad = 5.196658925879714
good = 8.971183997505586, bad = 5.274428234780977
good = 9.078258301623372, bad = 5.294836398046284
good = 9.208295344558966, bad = 5.356060887842202
good = 9.285650302000878, bad = 5.465650189401336
good = 9.35603496575366, bad = 5.526874679197253
good = 9.46794269066428, bad = 5.567691005727866
good = 9.61080122558079, bad = 5.588099168993172
good = 9.709715523443592, bad = 5.628915495523784
good = 9.93906449974909, bad = 5.649323658789091
good = 10.04603138063755, bad = 5.7105481485850085
good = 10.1310301838984, bad = 5.778321460133192
good = 10.22744974840034, bad = 5.851933998375628
good = 10.330013848593733, bad = 5.99450980548233
good = 10.458663317938854, bad = 6.0149179687476355
good = 10.555294160936278, bad = 6.091778360937637
good = 10.658157003300564, bad = 6.132594687468249
good = 10.741203702173351, bad = 6.205153102138465
good = 10.825047105147185, bad = 6.225561265403772
good = 10.921307988654448, bad = 6.266377591934384
good = 11.036641314480525, bad = 6.384403699712045
good = 11.146924682320416, bad = 6.4048118629773505
good = 11.268026806788999, bad = 6.425220026242656
good = 11.356423234837605, bad = 6.538034954585536
good = 11.453097233010253, bad = 6.592850582629924
good = 11.56132987624716, bad = 6.633666909160536
good = 11.641578061928746, bad = 6.654075072425842
good = 11.719600675102255, bad = 6.648142930168818
good = 11.819008625872527, bad = 6.524648291084663
good = 11.889738362412299, bad = 6.545056454349969
good = 11.983000842283477, bad = 6.585872780880581
good = 12.08646062297514, bad = 6.585872780880581
good = 12.170649436624057, bad = 6.606280944145886
good = 12.271506816384475, bad = 6.675799683318575
good = 12.364428743567268, bad = 6.443867095359643
