good = 5.1862630275673745, bad = 5.139782022656911
good = 5.357314843611519, bad = 5.221414675718136
good = 5.542060185226426, bad = 5.221414675718136
good = 5.660395282228189, bad = 5.323455492044666
good = 5.774408218617138, bad = 5.384679981840585
good = 5.946676826016179, bad = 5.425496308371198
good = 6.054559480130718, bad = 5.60669364795363
good = 6.205814406203036, bad = 5.715944273104878
good = 6.292255630035564, bad = 5.946053708183254
good = 6.420976488277166, bad = 6.008250873841542
good = 6.52923728510129, bad = 6.06947536363746
good = 6.655340344682613, bad = 6.06947536363746
good = 6.783099876873928, bad = 6.135547455778151
good = 6.900059795428665, bad = 6.19677194557407
good = 6.996397027707925, bad = 6.237588272104682
good = 7.116105102242087, bad = 6.278404598635294
good = 7.233703494357641, bad = 6.516417109949073
good = 7.344492544277127, bad = 6.536825273214379
good = 7.4845143175049476, bad = 6.536825273214379
good = 7.609301559059455, bad = 6.567425971991913
good = 7.725632483253731, bad = 6.567425971991913
good = 7.810505269083038, bad = 6.69791990869703
good = 7.917918326686791, bad = 6.772168381105497
good = 8.002967362116925, bad = 6.8677412198808225
good = 8.106381486800611, bad = 6.949373872942047
good = 8.2180229253406, bad = 6.969782036207353
good = 8.37806916341376, bad = 6.969782036207353
good = 8.486887556910938, bad = 7.104856766040077
good = 8.603225261074728, bad = 7.219773457354285
good = 8.699776362147572, bad = 7.260589783884897
good = 8.79275482326674, bad = 7.301406110415509
good = 8.847043088946313, bad = 7.486595856233979
good = 8.959832598953211, bad = 7.527412182764591
good = 9.058096288028496, bad = 7.6152177716349545
good = 9.15366311572576, bad = 7.688188574863079
good = 9.255093374141527, bad = 7.808972789169919
good = 9.347360668736357, bad = 7.94870645095327
good = 9.491482745264227, bad = 6.693767516607017
good = 9.597071229700383, bad = 6.826659159335546
good = 9.803361544860264, bad = 6.867475485866158
good = 9.910551449806311, bad = 6.969516302192688
good = 10.01751804799436, bad = 7.09349220212515
good = 10.109670249314522, bad = 7.1508002702303965
good = 10.190969219180998, bad = 7.235753760675877
good = 10.260503264613595, bad = 7.298991754659213
good = 10.341988120069464, bad = 7.360216244455132
good = 10.44410842595789, bad = 7.401032570985744
good = 10.572237250434538, bad = 7.42144073425105
good = 10.659011549672606, bad = 7.482665224046968
good = 10.778054930339177, bad = 7.482665224046968
good = 10.891374356484688, bad = 7.544444059428288
good = 11.016187952067847, bad = 7.626076712489513
good = 11.120274388750557, bad = 7.646484875754819
good = 11.200344363864012, bad = 7.7421827596514605
good = 11.311013866436735, bad = 7.804657637661056
good = 11.42665296429067, bad = 7.412229510104778
good = 11.524598310748598, bad = 7.432637673370084
good = 11.62197669820371, bad = 7.4938621631660025
good = 11.72551514423491, bad = 7.514270326431308
good = 11.797491987309028, bad = 7.514270326431308
good = 11.882887585806074, bad = 7.602922598934512
good = 11.975079147704017, bad = 7.623330762199819
good = 12.074557475296537, bad = 7.2489475527076825
good = 12.160683999336104, bad = 7.310172042503601
good = 12.248234472886578, bad = 5.623226198288966
good = 12.31936590162142, bad = 5.704226817998548
good = 12.3890933496174, bad = 5.757505113761317
good = 12.494926122636508, bad = 5.757505113761317
good = 12.578257942260235, bad = 5.951239346335047
good = 12.685030008889177, bad = 6.012463836130965
good = 12.765383084326944, bad = 5.912673707126028
good = 12.838747755642204, bad = 5.962841793008398
good = 12.902144208355075, bad = 6.037881307306782
good = 12.935622678494294, bad = 6.078697633837395
good = 13.01354921787011, bad = 6.064588223434574
good = 13.07437651590287, bad = 6.120105239200036
good = 13.137817781465984, bad = 6.108000412168292
good = 13.19918355315469, bad = 6.128408575433598
