good = 5.179068068633285, bad = 5.334453269457706
good = 5.326665269386496, bad = 5.41608592251893
good = 5.491244979531426, bad = 5.436494085784237
good = 5.583484224988061, bad = 5.594683407061401
good = 5.694687731171478, bad = 5.705153992954073
good = 5.880216810787512, bad = 5.705153992954073
good = 5.9886665816285864, bad = 5.827675019201807
good = 6.130642436798647, bad = 5.888899508997725
good = 6.24484533534937, bad = 5.888899508997725
good = 6.353164807236244, bad = 5.909307672263032
good = 6.450595993707129, bad = 6.16650914907795
good = 6.550832171914321, bad = 6.186917312343256
good = 6.6660555395994585, bad = 6.300978039732013
good = 6.772300335472374, bad = 6.4030188560585435
good = 6.8832751676066275, bad = 6.443835182589156
good = 6.967917449640213, bad = 6.574810802650845
good = 7.090566826706069, bad = 6.731236027202908
good = 7.191549113340529, bad = 6.751644190468214
good = 7.342953823871893, bad = 6.772052353733521
good = 7.451821999805713, bad = 6.853685006794745
good = 7.552312751290253, bad = 4.916656681455825
good = 7.629901433139803, bad = 5.051177322010183
good = 7.7381778407449655, bad = 5.14145447896646
good = 7.880516048239281, bad = 5.22524108443849
good = 7.974386579640246, bad = 5.3501242550980574
good = 8.091045731545773, bad = 5.419749059949126
good = 8.22551124742413, bad = 5.460565386479739
good = 8.321986646530844, bad = 5.460565386479739
good = 8.420953290193136, bad = 5.572946902233038
good = 8.524992188492908, bad = 5.615652318674036
good = 8.637815648108132, bad = 5.656468645204648
good = 8.728482016016732, bad = 2.4142080438868385
good = 8.826458551558485, bad = 2.4142080438868385
good = 8.923190798377687, bad = 2.4346162071521444
good = 9.0236870026565, bad = 2.486488011774614
good = 9.130212207778804, bad = 2.50689617503992
good = 9.217721813149282, bad = 2.6069219237169556
good = 9.382814674126195, bad = 2.6477382502475693
good = 9.474685827059327, bad = 2.6477382502475693
good = 9.678825693633973, bad = 2.668146413512875
good = 9.780584765294401, bad = 2.8814378648111756
good = 9.868941914564035, bad = 2.9630705178724
good = 9.982272759462841, bad = 2.9630705178724
good = 10.051022237461746, bad = 3.028317627741936
good = 10.139641361762028, bad = 3.0887681847763435
good = 10.21907774565536, bad = 3.17797604183221
good = 10.295402271800178, bad = 3.257869615674318
good = 10.381727553603723, bad = 3.3109899942605354
good = 10.454432100801029, bad = 3.4196453140959795
good = 10.556293028922823, bad = 3.4400534773612854
good = 10.67199260739052, bad = 3.5189290876033548
good = 10.760607215165995, bad = 3.681146943689889
good = 10.852647595305756, bad = 1.1321092446871057
good = 10.919323045459466, bad = 1.2505518786576901
good = 11.021587594424338, bad = 1.057107080059189
good = 11.143862064673236, bad = 1.0979234065898016
good = 11.217377524821192, bad = 1.1183315698551075
good = 11.319297797966158, bad = 1.1387397331204139
good = 11.432835357358794, bad = 1.0985510568113896
good = 11.535112921524554, bad = 0.0997052047955803
good = 11.67000503102536, bad = 0.14052153132619138
good = 11.757834491956272, bad = 0.05145130475812584
good = 11.867014123358963, bad = 0.07962919659096895
good = 11.93133204376384, bad = 0.24325787787714945
good = 12.029981322760944, bad = 0.09214403461138085
good = 12.121104894572921, bad = 0.10438761966349185
good = 12.187463332598762, bad = 0.14034005703562788
good = 12.284151345477786, bad = 0.08122260376282302
good = 12.37013215755459, bad = 0.12203893029343527
good = 12.450031837344325, bad = 0.25223005721896996
