good = 5.067693198005698, bad = 5.028088942307693
good = 5.104984864672364, bad = 5.030901442307692
good = 5.150290420227921, bad = 5.071526442307692
good = 5.177976622914123, bad = 5.164275620213121
good = 5.177976622914123, bad = 5.203858953546453
good = 5.180557328619828, bad = 5.334728885978885
good = 5.383335106397606, bad = 5.376395552645551
good = 5.448960106397607, bad = 5.483687219312218
good = 5.507935445651199, bad = 5.483687219312218
good = 5.605485570964483, bad = 5.765814412294675
good = 5.672592748630871, bad = 5.9043680881509815
good = 5.747071915297538, bad = 5.963482671484314
good = 5.789512391488014, bad = 5.963482671484314
good = 5.85007440699189, bad = 5.963482671484314
good = 5.8962090585926425, bad = 6.083299055665106
good = 5.9828062808148665, bad = 6.133194888998439
good = 6.034499424627575, bad = 6.160438478742028
good = 6.083610535738686, bad = 6.252917645408694
good = 6.10122296960112, bad = 6.332094232710282
good = 6.140944335805537, bad = 6.37107407349097
good = 6.163444335805537, bad = 6.49732407349097
good = 6.225957466057638, bad = 6.5388570503180645
good = 6.256427738962122, bad = 6.542128249148475
good = 6.306427738962122, bad = 6.658239360259586
good = 6.365766363300746, bad = 6.694848306868533
good = 6.378789239117739, bad = 6.69668654216265
good = 6.463916553932555, bad = 6.824429597718204
good = 6.468033617424619, bad = 6.846453407242013
good = 6.534422506313508, bad = 6.974161740575348
good = 6.558672145563147, bad = 7.010666069579677
good = 6.600055764494195, bad = 7.018759194834675
good = 6.608738198537071, bad = 7.0952845076028135
good = 6.6510088568003765, bad = 7.132607249199451
good = 6.659105477704169, bad = 7.219051693643896
good = 6.743225848074541, bad = 7.28551002697723
good = 6.743225848074541, bad = 7.300874610310563
good = 6.770858123206818, bad = 7.300874610310563
good = 6.778794631143326, bad = 7.3456256925616445
good = 6.854002964476658, bad = 7.292494287672744
good = 6.88262869547081, bad = 7.177967092259537
good = 6.91309553045659, bad = 7.259933717976163
good = 6.935620782981841, bad = 7.259933717976163
good = 6.949694857055917, bad = 7.268544829087274
good = 6.9497990237225835, bad = 7.1816997863657654
good = 6.99933606075962, bad = 7.178383999220274
good = 7.042218005204065, bad = 7.160795408937469
good = 7.053666198668617, bad = 7.139744622656748
good = 7.06511506230498, bad = 7.166515455990082
good = 7.0930908559021235, bad = 7.166515455990082
good = 7.125593448587538, bad = 7.108392371262919
good = 7.127244139462494, bad = 6.941777012916996
