good = 5.253398853398854, bad = 5.379371416871418
good = 5.356013232483821, bad = 5.512459652165534
good = 5.517124343594932, bad = 5.637459652165535
good = 5.704108470579059, bad = 5.679453699784582
good = 5.865985865215074, bad = 5.834712320474236
good = 6.140488029717238, bad = 5.883965567227484
good = 6.348040113050573, bad = 6.049720775560817
good = 6.482488766249225, bad = 6.1172397149547555
good = 6.543599877360337, bad = 6.300573048288089
good = 6.623044321804781, bad = 6.434878603843645
good = 6.652349877360337, bad = 6.665503603843645
good = 6.738403118101078, bad = 6.739895964954756
good = 6.841655069111648, bad = 7.001095448136997
good = 6.8919636641808815, bad = 7.08273931845108
good = 6.9546290080962265, bad = 7.189931778768542
good = 7.059316508096226, bad = 7.3375880287685415
good = 7.11922878879798, bad = 7.453859958593102
good = 7.224784344353537, bad = 7.591359958593102
good = 7.283117677686869, bad = 7.678859958593103
good = 7.340339899909092, bad = 7.809693291926436
good = 7.4183954554646485, bad = 7.9076099585931034
good = 7.503494661813853, bad = 8.009217101450245
good = 7.6106510945623915, bad = 8.173526311976563
good = 7.7269018202096715, bad = 8.23594271741021
good = 7.815790709098558, bad = 8.354990336457828
good = 7.861739783172634, bad = 8.415788947568938
good = 7.9171564498392994, bad = 8.48972277109835
good = 8.03437867206152, bad = 8.49611165998724
good = 8.180092957775805, bad = 8.548016421892005
good = 8.299853058785903, bad = 8.652183088558669
good = 8.339436392119238, bad = 8.778224755225335
good = 8.44084512227797, bad = 8.947808088558668
good = 8.532561392119238, bad = 8.983239636177716
good = 8.621296129603977, bad = 9.053452548265627
good = 8.665661208969057, bad = 9.153765048265628
good = 8.719179727487576, bad = 7.308502199944126
good = 8.787987597857947, bad = 7.272614287680707
good = 8.89303949040984, bad = 7.1227418301647125
good = 8.979227433672252, bad = 7.040982734164146
good = 9.01097346541828, bad = 7.1219351151165275
good = 9.039873516865164, bad = 7.157596832970483
good = 9.154390712632361, bad = 7.1844321504307995
good = 9.232151876906684, bad = -9.623987422564733
good = 9.24366261724085, bad = -9.592781632967199
good = 9.27596022690228, bad = -9.532000455769618
good = 9.323120264420817, bad = -9.553131100189876
good = 9.351884100320875, bad = -9.481325544634325
good = 9.38385301499839, bad = -9.507869613948918
good = 9.41925386061762, bad = -9.581483308344342
good = 9.452194396532533, bad = -9.595266696511672
good = 9.518855721318857, bad = -9.610075994413565
good = 9.546993826847206, bad = -9.630945485980096
good = 9.569893558275096, bad = -9.622593894282762
good = 9.604264252252664, bad = -9.679630823164182
good = 9.616314957509328, bad = -9.656859604360664
good = 9.670463373474773, bad = -10.054511345958298
good = 9.705664184022483, bad = -10.10937890503232
good = 9.735772593742205, bad = -10.13168409953655
good = 9.775581899655693, bad = -10.182900843310962
good = 9.782832213625383, bad = -10.182184348494818
good = 9.814082213625383, bad = -10.161985181246507
good = 9.850568772917628, bad = -10.176691936952546
good = 9.869876808631913, bad = -10.385422199871794
good = 9.905987919743023, bad = -10.413850938479607
good = 9.954141714457354, bad = -12.177292690898275
good = 9.99091039477947, bad = -12.181984870522124
good = 10.03007636353922, bad = -12.192447719282413
good = 10.051029169805869, bad = -12.171019147853844
good = 10.073862598722611, bad = -12.223932693473252
good = 10.067193121980539, bad = -12.18346767082169
good = 10.082902700405597, bad = -12.150620448599465
good = 10.096781707800604, bad = -12.15007023238476
good = 10.096123202885384, bad = -12.113869518607407
good = 10.114267860796343, bad = -12.193403538337416
good = 10.133017860796341, bad = -12.181394077669744
good = 10.160314405434455, bad = -12.209767973084928
good = 10.185462641651078, bad = -12.281033514573576
good = 10.211130358808374, bad = -12.26921931998782
good = 10.262797025475042, bad = -12.301142527849173
good = 10.302486985373216, bad = -16.335353234817337
good = 10.328864963745275, bad = -16.379777210966402
good = 10.346541731422043, bad = -16.36765599884519
good = 10.372749861501061, bad = -16.385545370922276
good = 10.40087486150106, bad = -16.38409609121922
good = 10.427259997597776, bad = -16.399452973944907
good = 10.500504743597968, bad = -16.62401190891582
good = 10.538282521375745, bad = -16.62009917974118
good = 10.578510695978919, bad = -16.681602292819854
good = 10.605625509358727, bad = -16.684042698917075
good = 10.644748224872913, bad = -16.732123127013793
good = 10.655859335984024, bad = -16.741464356800954
good = 10.674665213507158, bad = -16.76396544951527
good = 10.721538102630246, bad = -16.751812399314993
good = 10.766600137041069, bad = -16.777209192977608
good = 10.797329701235368, bad = -16.782513234340097
good = 10.8218613172099, bad = -16.78344985150339
good = 10.889716739056013, bad = -16.85255915091161
good = 10.89684548044436, bad = -16.857177779633126
good = 10.978269178159069, bad = -16.9739045347715
good = 10.978161867846541, bad = -17.03236725163496
good = 11.005532769657053, bad = -17.012535600464094
good = 11.05132649494859, bad = -17.06743535767484
good = 11.08038597663979, bad = -17.13094058917736
good = 11.145571161824973, bad = -17.164630491632472
good = 11.165425403876604, bad = -17.19193901563853
good = 11.199582699959707, bad = -17.235928556997926
good = 11.247394511555383, bad = -17.259063506162992
good = 11.290450067110937, bad = -17.28066632726701
good = 11.322575368792316, bad = -17.283964147804085
good = 11.353635974852926, bad = -17.502270693083606
good = 11.375862571486431, bad = -17.55745273648621
good = 11.394862011816393, bad = -17.568294911189252
good = 11.460025268518615, bad = -17.591303156380093
good = 11.494885710132788, bad = -17.63757239996568
good = 11.509848168364728, bad = -17.62542735446518
good = 11.550373530683567, bad = -17.593008876204316
good = 11.565254483064521, bad = -17.601955700391244
good = 11.59396915209026, bad = -17.599274418763102
good = 11.606974202595309, bad = -17.63835817194544
good = 11.624931315293216, bad = -17.640070136819794
good = 11.631919266647897, bad = -17.626013764270777
good = 11.659951012679644, bad = -17.6504502700234
good = 11.693738998009575, bad = -17.636686575688724
good = 11.728742024117095, bad = -17.793963492976243
good = 11.774575357450425, bad = -17.81113272075131
good = 11.820740520525641, bad = -17.899930880255315
good = 11.871138996540664, bad = -17.915493141757374
good = 11.902995885741968, bad = -17.925070109461263
