good = 5.323213026691288, bad = 5.284474255743646
good = 5.5255846857227935, bad = 5.319650135140631
good = 5.69120649386634, bad = 5.3886056789050025
good = 5.851921929799167, bad = 5.465940593644331
good = 5.967986332518442, bad = 5.5701711943047565
good = 6.246731172219803, bad = 5.600321948073601
good = 6.362512789957943, bad = 5.675697898804586
good = 6.464701547094527, bad = 5.827284156840484
good = 6.630054204099358, bad = 5.873398787967131
good = 6.8531560078941345, bad = 5.949114583447175
good = 7.006373131874962, bad = 6.041969840838723
good = 7.134134721840215, bad = 6.110384505057351
good = 7.388429360059892, bad = 6.196948366953648
good = 7.541404559390318, bad = 6.318034968190305
good = 7.729705314517158, bad = 6.390761285203273
good = 7.851843340742139, bad = 6.491984273852523
good = 8.062138862154365, bad = 6.583441450769034
good = 8.25349635007707, bad = 6.668460750164561
good = 8.433969970974129, bad = 6.720194274371986
good = 8.561090675030895, bad = 6.815965231770776
good = 8.756206230283095, bad = 6.854229986253265
good = 8.921573380041552, bad = 6.918884521871314
good = 9.217561732565372, bad = 7.017576412182629
good = 9.394548444950802, bad = 7.108676407752738
good = 9.65053588456433, bad = 7.217713310693945
good = 9.765933948658047, bad = 7.364349071713648
good = 10.085855934996442, bad = 6.849734657607461
good = 10.292675249979979, bad = 6.517773136956536
good = 10.531521810826542, bad = 6.561084934037178
good = 10.641907154951015, bad = 6.647502340096271
good = 10.884576613479405, bad = 6.714319472677412
good = 11.035388942627138, bad = 5.052075647643532
good = 11.247457955739629, bad = 5.156594099114134
good = 11.4307321855356, bad = 2.6525939633877655
good = 11.633352613416895, bad = 2.7859283371197803
good = 11.915097172883195, bad = 2.8261293421449056
good = 12.115388206165536, bad = 2.7627158752529315
good = 12.330251719463833, bad = 2.3783980256397115
good = 12.46374695179857, bad = 2.4473036850401666
good = 12.53957717954184, bad = 2.0953267401232245
good = 12.710037303896776, bad = 2.2046200244617284
good = 12.952693546440136, bad = 1.778384282815389
good = 13.119746148960928, bad = 1.6661794637115737
good = 13.27116879648884, bad = 1.8022649950364598
good = 13.417778598837772, bad = 1.8911031621464203
good = 13.540734525169658, bad = 1.9969219079682519
good = 13.711820590794856, bad = 2.0243561114216817
good = 13.879132668089545, bad = 2.1012099458110196
good = 14.021802429889743, bad = 2.1649892223934417
good = 14.163559001820229, bad = 2.2381534409387567
good = 14.357031288792516, bad = 2.336941866360347
good = 14.539046057598592, bad = 1.5493351087387948
good = 14.718927731480266, bad = 0.34237159264304273
good = 14.945034890022207, bad = 0.19895606493032955
good = 15.072963656403074, bad = 0.19462950729331172
good = 15.213420953051676, bad = -0.016023241748511705
good = 15.353805465056324, bad = 0.018505643954020472
good = 15.58429289691972, bad = 0.09192544387589581
good = 15.74887396471818, bad = 0.03672444229345668
good = 15.912063553597212, bad = -0.15217235502395646
good = 16.041319592244555, bad = -0.05517529241623159
good = 16.209311655736617, bad = -0.3276090632118355
good = 16.344343092484625, bad = -0.2936879024663275
good = 16.408123630786896, bad = -0.15358833631257712
good = 16.547614428799434, bad = -0.06488775823096178
good = 16.731312032695122, bad = -1.1599417944340904
