good = 5.2105860985208805, bad = 5.218568162690951
good = 5.497211294864748, bad = 5.289115883636441
good = 5.675120197556259, bad = 5.3706852210065215
good = 5.918380376990353, bad = 5.407405745644896
good = 6.1845506014019564, bad = 5.483017631015922
good = 6.478768933794203, bad = 5.518193510412908
good = 6.696053090860969, bad = 5.571197754972755
good = 6.954459327136769, bad = 5.709209508955669
good = 7.24142551071165, bad = 5.749410513980795
good = 7.483484572070296, bad = 5.8135857084724005
good = 7.618912093299329, bad = 5.884737624321336
good = 7.945656647922601, bad = 5.929963754974603
good = 8.237579299092626, bad = 6.035317966823808
good = 8.47275175845565, bad = 6.149307853705909
good = 8.66425391613172, bad = 5.12493892631382
good = 8.809878139734204, bad = 5.2176296053820375
good = 9.008011371364004, bad = 4.546607439048377
good = 9.133528279576565, bad = 4.6780690951549975
good = 9.312801448751435, bad = 3.9616669065554335
good = 9.453265647430468, bad = 4.06543447206907
good = 9.570454091146859, bad = 4.191384050233137
good = 9.737169757123395, bad = 4.239189329216043
good = 9.9004640556717, bad = 4.285490319474809
good = 10.108652359731108, bad = 4.420598761691803
good = 10.279064989130694, bad = 4.499012465823226
good = 10.482736911411306, bad = 4.560677802646963
good = 10.924539151453015, bad = 4.60590393330023
good = 11.134386860067716, bad = 4.6810274877952
good = 11.327638757928314, bad = 4.721228492820326
good = 11.467385542544662, bad = 4.8789355297932575
good = 11.624416327805625, bad = 4.96541278527694
good = 11.770238453230236, bad = 5.066587071107427
good = 11.944448253092208, bad = 5.129212829297965
good = 12.116905898506376, bad = 5.192950400201803
good = 12.208809970280013, bad = 5.276866876995711
good = 12.385412776813254, bad = 5.160617219517761
good = 12.546976661238011, bad = 5.259788007460669
good = 12.668817899010978, bad = -44.85294327157929
good = 12.871321527188057, bad = -44.88499686080021
good = 13.084382948858174, bad = -44.991589016735944
good = 13.222520374630092, bad = -44.89361454922091
good = 13.331164499643387, bad = -44.72203668118917
good = 13.457257557056352, bad = -44.65300684346175
good = 13.62489875161059, bad = -44.62788121532105
good = 13.811285200170953, bad = -44.68853714126057
good = 13.88626816340456, bad = -44.52368242069634
good = 14.007983954859483, bad = -44.47394665989219
good = 14.121296032154165, bad = -44.313859266403014
good = 14.277576852782818, bad = -44.187180638304234
good = 14.45853943931062, bad = -44.09525176752459
good = 14.719132989078085, bad = -44.322233716621895
good = 14.928923016683324, bad = -44.49540815123383
good = 15.092857408163763, bad = -44.59570216939984
good = 15.237861360732934, bad = -44.92180208005899
good = 15.38957464829147, bad = -45.102320850386924
good = 15.57456283831495, bad = -49.00658512126144
good = 15.731450114476369, bad = -48.96700942869816
good = 15.838973532802854, bad = -48.92238024287907
good = 16.034634883594638, bad = -48.949316668811086
good = 16.166058435407493, bad = -49.20696120270173
good = 16.35114721853047, bad = -49.300939335785884
good = 16.51529962248722, bad = -49.63966534917616
good = 16.64981197665269, bad = -49.56938098189832
good = 16.78354386071066, bad = -49.49630452251165
good = 16.971270168480444, bad = -50.08340193333855
good = 17.121514819964233, bad = -50.05274321192859
good = 17.297524855574263, bad = -50.32229642805563
good = 17.49718854689013, bad = -50.819542496633346
good = 17.655060313419746, bad = -50.89691881210193
good = 17.805957639427884, bad = -50.87105509425873
good = 17.923987369892078, bad = -50.81018209535479
good = 18.008795935436535, bad = -50.737680748201136
good = 18.121682419844387, bad = -50.69839960494122
good = 18.148326103297645, bad = -50.66249860106906
good = 18.243146908287816, bad = -50.634839731547785
good = 18.343064137048632, bad = -50.73592169074126
good = 18.396493385478156, bad = -50.66581946756934
good = 18.470287259140274, bad = -50.69747487967849
good = 18.600442010163952, bad = -51.250579958033484
good = 18.703427601386462, bad = -51.997941185371985
good = 18.774288227969087, bad = -52.50693808179644
good = 18.86864351402989, bad = -52.57541846648513
good = 18.71254189354101, bad = -52.53195360455973
good = 18.81607402958261, bad = -52.5244622028172
good = 18.92888460308626, bad = -52.91100545479411
good = 19.02129897435481, bad = -53.43550251384205
good = 19.10860521717621, bad = -54.21757836858906
good = 19.21821939110552, bad = -54.25612398526158
good = 19.316394542239312, bad = -54.23512014087425
good = 19.393622144955245, bad = -54.18128095063536
good = 19.50820808007284, bad = -54.18196706325916
good = 19.595346244324052, bad = -54.26405668686344
good = 19.696097857222792, bad = -54.26075621041867
good = 19.7866257611979, bad = -54.350904160819965
good = 19.881388807069488, bad = -54.77362282336096
good = 19.98374788917824, bad = -58.340180147220664
good = 20.089445942901676, bad = -60.50316343004057
good = 20.153646055751913, bad = -60.50354815392711
good = 20.252555285651635, bad = -60.50587427505275
good = 20.323508139271038, bad = -60.45604151464528
good = 20.416789447334942, bad = -60.44542324780542
good = 20.49093633589072, bad = -60.82306509124315
good = 20.62172407296001, bad = -60.976086867849126
good = 20.739591080661157, bad = -61.017110409937835
good = 20.817414811187284, bad = -60.988030691551515
good = 20.929360374480677, bad = -61.08927062301548
good = 21.05262398080397, bad = -61.42139201214495
good = 21.1688859784462, bad = -61.51545682725436
good = 21.273890884825526, bad = -61.603533102477925
good = 21.369190514382964, bad = -61.909059704246296
good = 21.452360438833097, bad = -62.047765887371725
good = 21.556361901534466, bad = -62.625770013869456
good = 21.648958116252768, bad = -62.72500409747887
good = 21.734919590877414, bad = -62.704609048855886
good = 21.859564173348087, bad = -62.72490630608585
good = 21.974648349241257, bad = -62.70983092920142
good = 22.0786485725689, bad = -85.2665573703063
good = 22.189418292212963, bad = -85.45704300537844
good = 22.252052657881958, bad = -85.43744400009557
good = 22.325364932787615, bad = -85.53516491195006
good = 22.41679399683492, bad = -85.52209749099282
good = 22.512201621738186, bad = -85.54627216872521
good = 22.574272836051282, bad = -85.53888999139754
good = 22.68562213918092, bad = -85.6728968335928
good = 22.828847145477653, bad = -85.71285557846241
good = 22.932764622101384, bad = -85.72470091561449
good = 23.04093627593629, bad = -85.81948140132423
good = 23.153533335123033, bad = -85.84130553640418
good = 23.24270897708525, bad = -87.88408970087644
good = 23.327193355039824, bad = -87.83300703925266
good = 23.41287483386251, bad = -87.83208042509973
good = 23.515810140308652, bad = -87.96202928220212
good = 23.63042913782092, bad = -87.96473259284788
good = 23.773989356014567, bad = -88.12464935598837
good = 23.89211766067027, bad = -89.39538365595702
good = 24.03533614491589, bad = -89.5772204226134
good = 24.13841647849282, bad = -90.17755004168679
good = 24.260555258602622, bad = -90.70017917403126
good = 24.35473179531794, bad = -90.73334478647902
good = 24.433399336958168, bad = -90.86641421202944
good = 24.5272553242719, bad = -91.12921651869394
good = 24.606642657725683, bad = -91.14543315508107
good = 24.71366271098263, bad = -91.19528685908928
good = 24.790449598491257, bad = -91.26941094816407
good = 24.876243645201725, bad = -91.26028416017832
good = 24.950163540987962, bad = -92.4446206770816
good = 25.036539356045928, bad = -92.42351039966474
good = 25.161216135458943, bad = -92.51195908391533
good = 25.258637821881816, bad = -92.6981044158466
good = 25.360809377982513, bad = -93.08320657296396
good = 25.465778479898447, bad = -93.16973065199969
good = 25.560220106978015, bad = -103.66703420768376
good = 25.646155749318133, bad = -103.64413925804463
good = 25.778953605473603, bad = -103.76571326104653
good = 25.892181600838565, bad = -103.7846894597352
good = 25.991293117152477, bad = -103.80189911273726
good = 26.08463105135998, bad = -103.77734149581855
good = 26.164051444042613, bad = -103.74708824492585
good = 26.302500475346644, bad = -103.81670484897109
good = 26.407883288990334, bad = -103.81035985464666
good = 26.531264931502406, bad = -103.80893147344067
good = 26.620510433670468, bad = -103.88731773728951
good = 26.74270646256026, bad = -105.00022111302734
good = 26.854770474835085, bad = -106.53729051581678
good = 26.958860554334965, bad = -106.5408499610466
good = 27.044676930345425, bad = -107.16476619159555
good = 27.15342477131535, bad = -107.25425150155162
good = 27.266618493448625, bad = -107.2610534400179
good = 27.397960960458118, bad = -107.350808103598
good = 27.50118215431802, bad = -107.44991945678925
good = 27.585354676642723, bad = -107.42971564099686
good = 27.671550675822584, bad = -107.58577061832501
good = 27.779039880354407, bad = -107.69808456446903
good = 27.873248860433904, bad = -107.67279882842348
good = 27.984415802450506, bad = -107.68092879362311
good = 28.105115418185456, bad = -107.69997457999858
good = 28.221899346621296, bad = -107.75992917474166
good = 28.289479746897346, bad = -107.69500944015459
good = 28.395786218055562, bad = -107.77674498604206
good = 28.516411770040207, bad = -108.3154076242807
good = 28.586141999908843, bad = -108.50024871258937
good = 28.708592166016604, bad = -108.54725669484036
good = 28.816981242552423, bad = -108.55640938419191
good = 28.93226923954282, bad = -109.29266505122534
good = 29.02814072262065, bad = -109.37364521989738
good = 29.124184235304504, bad = -109.5011676447203
good = 29.234710959849824, bad = -110.45303362695962
good = 29.36816682390222, bad = -110.60812265186547
good = 29.499097895155902, bad = -111.5284496515137
good = 29.61146249978862, bad = -111.53559587744203
good = 29.71599684983886, bad = -111.68130187213646
good = 29.805561993579808, bad = -111.66628703970613
good = 29.896691618571616, bad = -112.087435241672
good = 29.992373734021566, bad = -113.07238170188731
good = 30.124546070115343, bad = -115.57631287205797
good = 30.280469364868907, bad = -116.04310719146157
good = 30.374254497090654, bad = -116.03806059746317
good = 30.431389802588438, bad = -116.00584081044735
good = 30.54860536624601, bad = -116.25576692771672
good = 30.666596518948953, bad = -116.26831980208011
