good = 23.86380970000586, bad = -18.897198811560123
good = 23.94902457082968, bad = -20.713406290559103
good = 24.050827380808055, bad = -20.739567424693444
good = 24.179147483007174, bad = -20.809756275968287
good = 24.2455927653461, bad = -20.828427734515145
good = 24.37177770152621, bad = -21.642107320056983
good = 24.48127421513292, bad = -21.616247641203817
good = 24.610178356577432, bad = -21.783623021898627
good = 24.682192058950363, bad = -21.812016469199385
good = 24.782027638159608, bad = -22.067843365626363
good = 24.922964367105013, bad = -22.73806677499043
good = 25.04175963986475, bad = -22.771185380933513
good = 25.142331117698312, bad = -22.84374363404151
good = 25.224088806950906, bad = -22.95714312600522
good = 25.32208925193981, bad = -22.99277027844282
good = 25.392862010489644, bad = -23.009910354351284
good = 25.508458112000042, bad = -23.887739505840706
good = 25.57775002177028, bad = -23.951332526992285
good = 25.73998709168587, bad = -24.597490377974587
good = 25.827969914020354, bad = -24.550256056939073
good = 25.927025578945212, bad = -24.605563594284757
good = 26.070036870293926, bad = -25.119071921082597
good = 26.177312218825943, bad = -25.169413488057888
good = 26.285368217458043, bad = -25.189962869647793
good = 26.375729573019218, bad = -25.1989165169052
good = 26.478920599584697, bad = -25.260714525991954
good = 26.576626297391723, bad = -25.32235525288757
good = 26.664672592084745, bad = -25.69964926029624
good = 26.750994905628296, bad = -27.602456524173324
good = 26.848886395780656, bad = -27.5799332603397
good = 26.93539755637055, bad = -27.688393173518165
good = 27.061760732285425, bad = -27.77190807340355
good = 27.16941057135968, bad = -27.83028602451722
good = 27.27489544858902, bad = -27.90514661397194
good = 27.387128496763186, bad = -27.957052093476115
good = 27.48802208169917, bad = -27.950690909925378
good = 27.587115296102148, bad = -28.12004091032651
good = 27.68442293241168, bad = -28.133330223215896
good = 27.79601303781419, bad = -28.41013813979442
good = 27.886155549789763, bad = -28.52491356259548
good = 28.02063502685121, bad = -28.799757840937673
good = 28.083234329052143, bad = -28.788734991255833
good = 28.202405987680006, bad = -28.791641645758123
good = 28.311785190558396, bad = -28.951758866047275
good = 28.425361723257677, bad = -29.07600981378247
good = 28.520468276869973, bad = -29.134619846867007
good = 28.62792867665797, bad = -29.174793605755013
good = 28.687213926562873, bad = -29.14765663158346
good = 28.819245051418388, bad = -30.33415916579085
good = 28.952067783475005, bad = -30.43959769171868
good = 29.07466223021763, bad = -30.4899352678082
good = 29.19742876949624, bad = -30.48955457579903
good = 29.315671114963497, bad = -30.556162744540206
good = 29.412905603913636, bad = -32.7770262914801
good = 29.51297807242288, bad = -32.76644743172527
good = 29.61503599864184, bad = -32.92862526988517
good = 29.73805155625139, bad = -32.98932976886706
good = 29.842027477688358, bad = -33.035635895475295
good = 29.917923289774176, bad = -33.04200851568819
good = 30.05550449621618, bad = -33.740672386132076
good = 30.183221953386262, bad = -34.440334643700275
good = 30.282603745444607, bad = -34.44296194746726
good = 30.35940004558134, bad = -34.39992196278179
good = 30.45524946434688, bad = -34.436798828891796
good = 30.56764676570341, bad = -34.50657845795575
