good = 5.067693198005698, bad = 5.028088942307693
good = 5.104984864672364, bad = 5.030901442307692
good = 5.150290420227921, bad = 5.071526442307692
good = 5.177976622914123, bad = 5.164275620213121
good = 5.177976622914123, bad = 5.203858953546453
good = 5.195018664956165, bad = 5.310277872465373
good = 5.390504776067276, bad = 5.3660070391320405
good = 5.48633810940061, bad = 5.453507039132039
good = 5.551980640385607, bad = 5.453507039132039
good = 5.628268756509249, bad = 5.619363085497955
good = 5.6739463184697065, bad = 5.902340842390186
good = 5.708147707358595, bad = 6.003642925723518
good = 5.749129850215739, bad = 6.003642925723518
good = 5.782261310164059, bad = 6.003642925723518
good = 5.853118183987034, bad = 6.112456485045551
good = 5.938743183987033, bad = 6.135536842188409
good = 5.990602971240842, bad = 6.166764197260872
good = 6.059269637907509, bad = 6.359118363927539
good = 6.101769637907509, bad = 6.573146141705317
good = 6.150920040235878, bad = 6.637922079044813
good = 6.229808929124767, bad = 6.64896374571148
good = 6.24802974017646, bad = 6.701129043648836
good = 6.270591352540705, bad = 6.735248195695621
good = 6.299480241429593, bad = 6.744900973473399
good = 6.354598086547438, bad = 6.85552146409389
good = 6.385165897004954, bad = 6.876373179780165
good = 6.4984413599679165, bad = 6.953282902002387
good = 6.5235405663171235, bad = 6.969949568669054
good = 6.551735010761568, bad = 7.084637068669053
good = 6.582464327740885, bad = 7.118240062897048
good = 6.6057750512550975, bad = 7.151422437438052
good = 6.623210685795995, bad = 7.1997290682256105
good = 6.655839362266583, bad = 7.228513863393678
good = 6.860839362266582, bad = 7.293034696727011
good = 6.936093991896213, bad = 7.410222196727011
good = 6.936093991896213, bad = 7.42584719672701
good = 6.968386760855649, bad = 7.42584719672701
good = 7.004497871966762, bad = 7.496680530060343
good = 7.053450166652751, bad = 7.511022768492959
good = 7.0947659561264365, bad = 7.570803470247346
good = 7.154809806795285, bad = 7.534142747416383
good = 7.18969617043165, bad = 7.534142747416383
good = 7.198747096357576, bad = 7.542719136305273
good = 7.2065248741353525, bad = 7.505773855810619
good = 7.243988171680197, bad = 7.540843300255062
good = 7.251248320018315, bad = 7.501051667319725
good = 7.250070974893068, bad = 7.482618982965188
good = 7.266229434489028, bad = 7.489920119328824
good = 7.282284472900627, bad = 7.489920119328824
good = 7.3017320507239445, bad = 7.502420119328824
good = 7.301668928521598, bad = 7.462597387033651
